Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K),Molecular Formula,Veri. SMILES,SMILES,Log Path
frd_903_cof_OH,,,,,,,,C6HF12O3,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[O]C([C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)O,/qchem_data/log_to_pdb_in/frd_903_cof_OH.log
hfp_1oh_2rad_scanhf,,,,,,,,C3HF6O,F.O=C(F)[C](F)C(F)(F)F,FC(=O)[C](C(F)(F)F)F.F,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scanhf.log
c5_sec_tert_rad_isots,,,,,,,,C5F11,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F.[F],F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F.[F],/qchem_data/log_to_pdb_in/c5_sec_tert_rad_isots.log
1H_dodecane,,,,,,,,C12HF25,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_dodecane.log
fosa,,,,,,,,C8H2F17NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/fosa.log
52_ftsa,,,,,,,,C7H6F11NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NS(=O)(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/52_ftsa.log
cf3cf_carbene,,,,,,,,C2F4,F[C]C(F)(F)F,F[C]C(F)(F)F,/qchem_data/log_to_pdb_in/cf3cf_carbene.log
42_hexene,,,,,,,,C6H3F9,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/42_hexene.log
hfp_1oh_2nd,,,,,,,,C3HF6O,OC(F)(F)[C](F)C(F)(F)F,F[C](C(F)(F)F)C(F)(F)O,/qchem_data/log_to_pdb_in/hfp_1oh_2nd.log
1H_decane,,,,,,,,C10HF21,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_decane.log
22_fts,,,,,,,,C4H5F5O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)F,FC(C(F)(F)F)(CCS([O])([O])O)F,/qchem_data/log_to_pdb_in/22_fts.log
hfp_1oh_2rad_scan,,,,,,,,C3HF6O,FC(F)=C(F)C(F)(F)F.[OH],FC(=C(C(F)(F)F)F)F.[OH],/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scan.log
frd_903_0HFAts_prod,,,,,,,,C6HF11O3,F.O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,O=C1O[C@]1(OC(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F.F,/qchem_data/log_to_pdb_in/frd_903_0HFAts_prod.log
1H_nonane,,,,,,,,C9HF19,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_nonane.log
1H_undecane,,,,,,,,C11HF23,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_undecane.log
53_ftca,,,,,,,,C8H5F11O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/53_ftca.log
cf3chf,,,,,,,,C2HF4,F[CH]C(F)(F)F,F[CH]C(F)(F)F,/qchem_data/log_to_pdb_in/cf3chf.log
hfp_2oh_2rad_prod,,,,,,,,C3HF6O,O[C](C(F)(F)F)C(F)(F)F,O[C](C(F)(F)F)C(F)(F)F,/qchem_data/log_to_pdb_in/hfp_2oh_2rad_prod.log
