Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K),Log Name,Veri. SMILES,SMILES,Log Path
C6HF12O3,,,,,,,,frd_903_cof_OH,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[O]C([C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)O,/qchem_data/log_to_pdb_in/frd_903_cof_OH.log
C4H2F6,,,,,,,,31_butene,C=C(F)C(F)(F)C(F)(F)F,FC(=C)C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/31_butene.log
C3HF6O,,,,,,,,hfp_1oh_2rad_scanhf,F.O=C(F)[C](F)C(F)(F)F,FC(=O)[C](C(F)(F)F)F.F,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scanhf.log
C5H2F8,,,,,,,,41_pentene,C=C(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/41_pentene.log
C4H5F5O,,,,,,,,22ftoh,OCCC(F)(F)C(F)(F)F,OCCC(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/22ftoh.log
C7HF15O3S,,,,,,,,pfhps,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S([O])(O)[O])F,/qchem_data/log_to_pdb_in/pfhps.log
C4H2F9NO2S,,,,,,,,fbsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(S(=O)(=O)N)(F)F)(F)F)(C(F)(F)F)F,/qchem_data/log_to_pdb_in/fbsa.log
C7H3F11,,,,,,,,52_heptene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/52_heptene.log
C5F11,,,,,,,,c5_sec_tert_rad_isots,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F.[F],F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F.[F],/qchem_data/log_to_pdb_in/c5_sec_tert_rad_isots.log
C2F5O2,,,,,,,,cf3o_cf2o_prod,[O]C(F)(F)OC(F)(F)F,[O]C(OC(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/cf3o_cf2o_prod.log
C12HF25,,,,,,,,1H_dodecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_dodecane.log
C6H5F9,,,,,,,,42rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/42rh.log
C8H2F17NO2S,,,,,,,,fosa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/fosa.log
C7H6F11NO2S,,,,,,,,52_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NS(=O)(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/52_ftsa.log
C2F4,,,,,,,,cf3cf_carbene,F[C]C(F)(F)F,F[C]C(F)(F)F,/qchem_data/log_to_pdb_in/cf3cf_carbene.log
C6H3F9,,,,,,,,42_hexene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/42_hexene.log
C3HF6O,,,,,,,,hfp_1oh_2nd,OC(F)(F)[C](F)C(F)(F)F,F[C](C(F)(F)F)C(F)(F)O,/qchem_data/log_to_pdb_in/hfp_1oh_2nd.log
C10HF21,,,,,,,,1H_decane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_decane.log
C4H5F5O3S,,,,,,,,22_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)F,FC(C(F)(F)F)(CCS([O])([O])O)F,/qchem_data/log_to_pdb_in/22_fts.log
C3HF6O,,,,,,,,hfp_1oh_2rad_scan,FC(F)=C(F)C(F)(F)F.[OH],FC(=C(C(F)(F)F)F)F.[OH],/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scan.log
C6HF11O3,,,,,,,,frd_903_0HFAts_prod,F.O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,O=C1O[C@]1(OC(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F.F,/qchem_data/log_to_pdb_in/frd_903_0HFAts_prod.log
C9HF19,,,,,,,,1H_nonane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_nonane.log
CHF3O3S,,,,,,,,triflic,O=S(=O)(O)C(F)(F)F,FC(S(O)([O])[O])(F)F,/qchem_data/log_to_pdb_in/triflic.log
