Log Files (Rel. Path),Log Files,Molecule,SMILES,a0,a1,a2,a3,a4,H_f_0K,S(300K),sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms O,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-O-C Torsions,C-O-C-C Torsions,C-O-C-F Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-O Torsions,F-C-O-C Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-O-C-C Torsions,O-O-C-F Torsions
qchem_data/log/butene.log,butene.log,1C4F8,C(=C(F)C(C(F)(F)F)(F)F)(F)F,8.2447,0.13653,-0.00013345,6.05e-08,-1.04e-11,-371.81,104.398839,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,10.0,4.0,8.0,0.0,2,1.0,5.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/butene_OH.log,butene_OH.log,1C4F8_OH,FC(O)(F)[C](C(F)(F)C(F)(F)F)F,8.959,0.16092,-0.00015895,7.29e-08,-1.26e-11,-419.97,44.901,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,12.0,4.0,8.0,1.0,3,1.0,5.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
qchem_data/log/pentene.log,pentene.log,1C5F10,C(=C(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,10.062,0.17448,-0.00017105,7.77e-08,-1.33e-11,-470.07,119.44,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,13.0,5.0,10.0,0.0,3,2.0,7.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/hexene.log,hexene.log,1C6F12,C(F)(F)(C(=C(F)F)F)C(C(C(F)(F)F)(F)F)(F)F,11.802,0.21282,-0.00020922,9.51e-08,-1.63e-11,-567.5,134.2,1.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0,16.0,6.0,12.0,0.0,4,3.0,9.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/heptene.log,heptene.log,1C7F14,C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,13.372,0.25169,-0.00024804,1.13e-07,-1.94e-11,-665.26,147.34,1.0,0.0,0.0,1.0,5.0,14.0,0.0,0.0,19.0,7.0,14.0,0.0,5,4.0,11.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/octene.log,octene.log,1C8F16,C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F,15.173,0.28984,-0.00028597,1.3e-07,-2.24e-11,-763.52,161.73,1.0,0.0,0.0,1.0,6.0,16.0,0.0,0.0,22.0,8.0,16.0,0.0,6,5.0,13.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/2_butene.log,2_butene.log,2C4F8,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)F,7.1603,0.14015,-0.00013764,6.26e-08,-1.07e-11,-379.88,106.06,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,10.0,4.0,8.0,0.0,2,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/butene_2OH.log,butene_2OH.log,2C4F8_OH,F[C](F)[C@@](C(F)(F)C(F)(F)F)(F)O,8.3784,0.16198,-0.00015979,7.32e-08,-1.27e-11,-414.97,44.591,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,12.0,4.0,8.0,1.0,3,1.0,7.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
qchem_data/log/2_pentene.log,2_pentene.log,2C5F10,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)F,9.1206,0.17742,-0.00017433,7.92e-08,-1.36e-11,-478.17,119.98,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,13.0,5.0,10.0,0.0,3,1.0,8.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/2_hexene.log,2_hexene.log,2C6F12,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)F,10.874,0.21558,-0.0002122,9.65e-08,-1.66e-11,-575.6,135.25,1.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0,16.0,6.0,12.0,0.0,4,2.0,10.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/2_heptene.log,2_heptene.log,2C7F14,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)C(F)(F)F,12.666,0.2538,-0.00025026,1.14e-07,-1.96e-11,-673.36,149.61,1.0,0.0,0.0,1.0,5.0,14.0,0.0,0.0,19.0,7.0,14.0,0.0,5,3.0,12.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/2_octene.log,2_octene.log,2C8F16,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,14.264,0.29254,-0.00028888,1.32e-07,-2.26e-11,-771.62,162.83,1.0,0.0,0.0,1.0,6.0,16.0,0.0,0.0,22.0,8.0,16.0,0.0,6,4.0,14.0,0.0,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c2f3_o.log,c2f3_o.log,C2F3O,[C](F)(F)C(=O)F,7.1063,0.052812,-4.91e-05,2.15e-08,-3.61e-12,-146.25,76.899,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,2.0,3.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
qchem_data/log/c2f4.log,c2f4.log,C2F4,C(=C(F)F)(F)F,4.9648,0.061892,-6.2e-05,2.9e-08,-5.13e-12,-160.29,73.976691,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c2f4h2o_prod.log,c2f4h2o_prod.log,C2F4H2O,C(F)(F)(C(F)F)O,4.0754,0.088753,-7.97e-05,3.44e-08,-5.7e-12,-264.63,80.947,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,2.0,4.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
qchem_data/log/c2f4o2.log,c2f4o2.log,C2F4O2,[C](C(F)(F)O[O])(F)F,7.0756,0.085872,-8.46e-05,3.85e-08,-6.59e-12,-145.69,88.684,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,7.0,2.0,4.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
qchem_data/log/epoxide.log,epoxide.log,C2F4O_epox,C1(F)(F)C(F)(F)O1,2.7566,0.081434,-7.99e-05,3.63e-08,-6.21e-12,-230.5,76.054,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,7.0,2.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c2f4_oh.log,c2f4_oh.log,C2F4_OH,[C](F)(F)C(F)(F)O,5.5231,0.083345,-8.1e-05,3.69e-08,-6.35e-12,-210.36,24.195,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,2.0,4.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
qchem_data/log/c2f5.log,c2f5.log,C2F5,C(F)(F)(F)[C](F)F,5.8156,0.073558,-7.11e-05,3.18e-08,-5.36e-12,-213.0,81.437321,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,2.0,5.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/ethane1H.log,ethane1H.log,C2F5H,C(F)(F)(C(F)F)F,4.1197,0.080406,-7.22e-05,3.07e-08,-5.01e-12,-263.33,79.748,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,2.0,5.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c2f5oh.log,c2f5oh.log,C2F5OH,FC(F)(C(F)(F)O)F,4.7496,0.1002,-9.85e-05,4.52e-08,-7.83e-12,-315.65,84.634,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,2.0,5.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
qchem_data/log/c2f6.log,c2f6.log,C2F6,C(F)(F)(F)C(F)(F)F,4.4745,0.092686,-9.19e-05,4.2e-08,-7.22e-12,-320.02,79.457408,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,2.0,6.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
