Log Files (Rel. Path),Log Files_x,SMILES,Log Names,Abbreviation,Log Files_y,a0,a1,a2,a3,a4,H_f_0K,S(300K)
,,C(=C(C(F)(F)F)F)(F)F,,C3F6,propene.log,6.3689,0.09903,-9.6e-05,0.0,-0.0,-264.42,89.765305
qchem_data/log/pentene.log,pentene.log,C(=C(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,pentene,1C5F10,pentene.log,10.062,0.17448,-0.000171,0.0,-0.0,-470.07,119.44
qchem_data/log/butene.log,butene.log,C(=C(F)C(C(F)(F)F)(F)F)(F)F,butene,1C4F8,butene.log,8.2447,0.13653,-0.000133,0.0,-0.0,-371.81,104.398839
qchem_data/log/propene.log,propene.log,C(=C(F)F)(F)C(F)(F)F,propene,,,,,,,,,
qchem_data/log/c2f4.log,c2f4.log,C(=C(F)F)(F)F,c2f4,C2F4,c2f4.log,4.9648,0.061892,-6.2e-05,0.0,-0.0,-160.29,73.976691
,,C(=C(F)[C](C(F)(F)F)F)(F)F,,butylallyl,butylallyl.log,9.4988,0.11984,-0.000117,0.0,-0.0,-274.97,106.35
,,C(=C=C(F)F)(F)F,,C3F4,allene.log,6.1059,0.069647,-6.7e-05,0.0,-0.0,-119.08,81.873
,,C(=O)(F)F,,CF2O,cf2o.log,3.5356,0.033932,-3.1e-05,0.0,-0.0,-144.2,61.794995
,,C(=O)(F)F.O,,CF2O_H2O,cf2o_h2o.log,13.759,0.038391,-3.2e-05,0.0,-0.0,-205.55,84.355874
,,C(=O)(F)F.O.O,,CF2O_2H2O,cf2o_2h2oreact.log,16.608,0.066137,-6.2e-05,0.0,-0.0,-275.55,97.532
qchem_data/log/chfo2.log,chfo2.log,C(=O)(F)O,chfo2,CFO2H,cfo2h.log,2.562,0.043465,-3.8e-05,0.0,-0.0,-147.28,63.717
qchem_data/log/chfo2.log,chfo2.log,C(=O)(F)O,chfo2,CHFO2,chfo2.log,2.7681,0.043835,-4e-05,0.0,-0.0,0.0,63.927
,,C(=O)(O)O,,COOH2,cooh2.log,1.5339,0.053254,-4.7e-05,0.0,-0.0,-145.57,64.209
,,C(=O)=O,,CO2,co2.log,4.7791,0.016904,-1.3e-05,0.0,-0.0,0.0,52.42
,,C(=O)F,,CFHO,cfho.log,4.9136,0.018727,-9e-06,0.0,0.0,-199.45,58.965
,,C(=O)O,,CHO2H,cho2h.log,3.6706,0.02813,-1.6e-05,0.0,-0.0,-88.67,59.346
qchem_data/log/propene_talphaF_rad.log,propene_talphaF_rad.log,C(=[C]\F)(/F)\C(F)(F)F,propene_talphaF_rad,,,,,,,,,
qchem_data/log/propene_calpha_rad.log,propene_calpha_rad.log,C(=[C]\F)(\F)/C(F)(F)F,propene_calpha_rad,,,,,,,,,
qchem_data/log/tfcof.log,tfcof.log,C(C(=O)F)(F)(F)F,tfcof,TFAL,tfal.log,5.1988,0.073197,-7e-05,0.0,-0.0,-248.11,79.943
qchem_data/log/pfprcof.log,pfprcof.log,C(C(C(=O)F)(F)F)(F)(F)F,pfprcof,PFPAL,pfpal.log,6.9898,0.11121,-0.000108,0.0,-0.0,-329.38,95.557
qchem_data/log/pfhpcof.log,pfhpcof.log,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(C(F)(F)F)(F)F)(F)F,pfhpcof,PFHPAL,pfhpal.log,14.026,0.26416,-0.00026,0.0,-0.0,-723.56,151.43
