Abbreviation,Log Name_x,Veri. SMILES,a0,a1,a2,a3,a4,H_f_0K,S_300K ,SMILES,Molecule,Log Name_y,Log Path,Unnamed: 0,Log Mol. Objects
,,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,,,,,,,,[O]C([C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)O,C6HF12O3,frd_903_cof_OH,/qchem_data/log_to_pdb_in/frd_903_cof_OH.log,1,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a920a0>
,,C=C(F)C(F)(F)C(F)(F)F,,,,,,,,FC(=C)C(C(F)(F)F)(F)F,C4H2F6,31_butene,/qchem_data/log_to_pdb_in/31_butene.log,11,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91fc0>
,,F.O=C(F)[C](F)C(F)(F)F,,,,,,,,FC(=O)[C](C(F)(F)F)F.F,C3HF6O,hfp_1oh_2rad_scanhf,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scanhf.log,15,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92260>
,,C=C(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(=C)C(C(C(F)(F)F)(F)F)(F)F,C5H2F8,41_pentene,/qchem_data/log_to_pdb_in/41_pentene.log,22,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91af0>
,,OCCC(F)(F)C(F)(F)F,,,,,,,,OCCC(C(F)(F)F)(F)F,C4H5F5O,22ftoh,/qchem_data/log_to_pdb_in/22ftoh.log,24,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91a10>
,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S([O])(O)[O])F,C7HF15O3S,pfhps,/qchem_data/log_to_pdb_in/pfhps.log,26,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91930>
,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(S(=O)(=O)N)(F)F)(F)F)(C(F)(F)F)F,C4H2F9NO2S,fbsa,/qchem_data/log_to_pdb_in/fbsa.log,28,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91850>
,,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,C=CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H3F11,52_heptene,/qchem_data/log_to_pdb_in/52_heptene.log,29,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a917e0>
,,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F.[F],,,,,,,,F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F.[F],C5F11,c5_sec_tert_rad_isots,/qchem_data/log_to_pdb_in/c5_sec_tert_rad_isots.log,30,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91770>
,,[O]C(F)(F)OC(F)(F)F,,,,,,,,[O]C(OC(F)(F)F)(F)F,C2F5O2,cf3o_cf2o_prod,/qchem_data/log_to_pdb_in/cf3o_cf2o_prod.log,31,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91cb0>
,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C12HF25,1H_dodecane,/qchem_data/log_to_pdb_in/1H_dodecane.log,33,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91700>
,,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H5F9,42rh,/qchem_data/log_to_pdb_in/42rh.log,34,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91690>
,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,C8H2F17NO2S,fosa,/qchem_data/log_to_pdb_in/fosa.log,35,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91540>
,,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,NS(=O)(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H6F11NO2S,52_ftsa,/qchem_data/log_to_pdb_in/52_ftsa.log,38,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a913f0>
,,F[C]C(F)(F)F,,,,,,,,F[C]C(F)(F)F,C2F4,cf3cf_carbene,/qchem_data/log_to_pdb_in/cf3cf_carbene.log,42,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91230>
,,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H3F9,42_hexene,/qchem_data/log_to_pdb_in/42_hexene.log,43,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a912a0>
,,OC(F)(F)[C](F)C(F)(F)F,,,,,,,,F[C](C(F)(F)F)C(F)(F)O,C3HF6O,hfp_1oh_2nd,/qchem_data/log_to_pdb_in/hfp_1oh_2nd.log,45,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a910e0>
,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C10HF21,1H_decane,/qchem_data/log_to_pdb_in/1H_decane.log,46,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91070>
,,O=S(=O)(O)CCC(F)(F)C(F)(F)F,,,,,,,,FC(C(F)(F)F)(CCS([O])([O])O)F,C4H5F5O3S,22_fts,/qchem_data/log_to_pdb_in/22_fts.log,47,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91000>
,,FC(F)=C(F)C(F)(F)F.[OH],,,,,,,,FC(=C(C(F)(F)F)F)F.[OH],C3HF6O,hfp_1oh_2rad_scan,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scan.log,53,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90d60>
,,F.O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,,,,,,,,O=C1O[C@]1(OC(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F.F,C6HF11O3,frd_903_0HFAts_prod,/qchem_data/log_to_pdb_in/frd_903_0HFAts_prod.log,54,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91150>
,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C9HF19,1H_nonane,/qchem_data/log_to_pdb_in/1H_nonane.log,56,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90cf0>
,,O=S(=O)(O)C(F)(F)F,,,,,,,,FC(S(O)([O])[O])(F)F,CHF3O3S,triflic,/qchem_data/log_to_pdb_in/triflic.log,59,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90ac0>
,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C11HF23,1H_undecane,/qchem_data/log_to_pdb_in/1H_undecane.log,60,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90a50>
,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(S(O)([O])[O])(F)F)(F)F)(F)F,C3HF7O3S,pfprs,/qchem_data/log_to_pdb_in/pfprs.log,61,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a909e0>
,,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OC(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F11O2,53_ftca,/qchem_data/log_to_pdb_in/53_ftca.log,63,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90120>
,,F[CH]C(F)(F)F,,,,,,,,F[CH]C(F)(F)F,C2HF4,cf3chf,/qchem_data/log_to_pdb_in/cf3chf.log,67,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90660>
,,O=S(=O)(O)C(F)(F)C(F)(F)F,,,,,,,,FC(C(F)(F)F)(S([O])([O])O)F,C2HF5O3S,pfets,/qchem_data/log_to_pdb_in/pfets.log,68,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a906d0>
,,O[C](C(F)(F)F)C(F)(F)F,,,,,,,,O[C](C(F)(F)F)C(F)(F)F,C3HF6O,hfp_2oh_2rad_prod,/qchem_data/log_to_pdb_in/hfp_2oh_2rad_prod.log,69,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90900>
,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS([O])([O])O)F,C6H5F9O3S,42_fts,/qchem_data/log_to_pdb_in/42_fts.log,70,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92570>
,,F[C]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,F[C]C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C7F14,1_octane_c7_carbene,/qchem_data/log_to_pdb_in/1_octane_c7_carbene.log,74,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac52a0>
,,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(F)(F)F)(F)F)(CCS(=O)(=O)N)F,C5H6F7NO2S,32_ftsa,/qchem_data/log_to_pdb_in/32_ftsa.log,78,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5380>
,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(S([O])(O)[O])(F)F)(F)F)F,C8HF17O3S,pfos,/qchem_data/log_to_pdb_in/pfos.log,79,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac53f0>
,,O=C(O)CCC(F)(F)C(F)(F)F,,,,,,,,OC(=O)CCC(C(F)(F)F)(F)F,C5H5F5O2,23_ftca,/qchem_data/log_to_pdb_in/23_ftca.log,81,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac54d0>
,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F,C3H2F7NO2S,fprsa,/qchem_data/log_to_pdb_in/fprsa.log,84,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5690>
,,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OC(=O)OC(C(C(F)(F)F)(F)F)(F)F,C4HF7O3,c3_oco2h,/qchem_data/log_to_pdb_in/c3_oco2h.log,85,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5700>
,,O[C](F)C(F)(F)C(F)(F)F,,,,,,,,O[C](C(C(F)(F)F)(F)F)F,C3HF6O,hfp_1oh_1rad_prod,/qchem_data/log_to_pdb_in/hfp_1oh_1rad_prod.log,86,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5770>
,,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,C8F17,3_octyl,/qchem_data/log_to_pdb_in/3_octyl.log,87,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5620>
,,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS(=O)(=O)N)F,C6H6F9NO2S,42_ftsa,/qchem_data/log_to_pdb_in/42_ftsa.log,89,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5850>
,,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,,,,,,,,FC(C(OC(C(C(F)(F)F)(F)F)(F)F)(O)[O])(F)F,C5HF10O3,ester_oh,/qchem_data/log_to_pdb_in/ester_oh.log,90,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5930>
,,F/[C]=C(\F)C(F)(F)F,,,,,,,,F/[C]=C(/C(F)(F)F)\F,C3F5,propene_calpha_rad,/qchem_data/log_to_pdb_in/propene_calpha_rad.log,96,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5bd0>
