Molecule,SMILES,S Count,C Count,O Count,H Count,F Count,Total sp3 Count,sp3 C-S Count,sp3 O-S Count,sp3 C-C Count,sp3 C-H Count,sp3 H-O Count,sp3 C-F Count,Torsions O-S-C-C,Torsions O-S-C-H,Torsions C-S-O-H,Torsions O-S-O-H,Torsions S-C-C-C,Torsions S-C-C-H,Torsions H-C-C-C,Torsions H-C-C-H,Torsions C-C-C-C,Torsions C-C-C-F,Torsions H-C-C-F,Torsions F-C-C-F,Rotatable Bonds Count,N Count,sp3 N-S Count,sp3 H-N Count,Total sp2 Count,sp2 O-S Count,Torsions F-C-C-C,Torsions C-C-C-H,Torsions F-C-C-H,Torsions C-C-C-S,Torsions H-C-C-S,Torsions C-C-S-O,Torsions C-C-S-N,Torsions H-C-S-O,Torsions H-C-S-N,Torsions C-S-N-H,Torsions O-S-N-H,Torsions F-C-C-S,Torsions F-C-S-O,Torsions F-C-S-N,sp3 C-N Count,sp3 C-O Count,sp2 C-O Count,Torsions C-S-N-C,Torsions O-S-N-C,Torsions S-N-C-H,Torsions S-N-C-C,Torsions H-N-C-H,Torsions H-N-C-C,Torsions N-C-C-O,Torsions H-C-C-O,Torsions C-C-O-H,Torsions O-C-O-H,a0,a1,a2,a3,a4,H_f_0K,S_300K 
22_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)F,1,4,3,5,5,17,1,3,3,4,1,5,3,6,1,2,1,2,4,4,1,5,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8068,0.1848,-0.00016314,6.9834e-08,-1.154e-11,0.0,116.65
22_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)F,1,4,2,6,5,16,1,,3,4,,5,,,,,,,,4,1,,,6,5,1,1,2,2,2,5,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,,,,,4.8978,0.19245,-0.00016763,7.1358e-08,-1.1768e-11,0.0,117.55
32_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,1,5,3,5,7,20,1,3,4,4,1,7,,,1,2,,,,4,2,5,,10,6,,,,,,4,4,4,1,2,3,,6,,,,,,,,,,,,,,,,,,,,7.3234,0.22377,-0.00020204,8.7692e-08,-1.4624e-11,0.0,132.06
32_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,1,5,2,6,7,19,1,,4,4,,7,,,,,,,,4,2,5,,10,6,1,1,2,2,2,4,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,,,,,6.5237,0.23119,-0.0002063,8.9114e-08,-1.4835e-11,0.0,132.86
42_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,3,5,9,23,1,3,5,4,1,9,,,1,2,,,,4,3,7,,14,7,,,,,,6,4,4,1,2,3,,6,,,,,,,,,,,,,,,,,,,,8.9874,0.2623,-0.0002404,1.0528e-07,-1.7657e-11,0.0,145.44
42_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,2,6,9,22,1,,5,4,,9,,,,,,,,4,3,7,,14,7,1,1,2,2,2,6,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,,,,,8.2187,0.26951,-0.00024435,1.0652e-07,-1.7831e-11,0.0,146.03
62_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,8,3,5,13,29,1,3,7,4,1,13,,,1,2,,,,4,5,11,,22,9,,,,,,10,4,4,1,2,3,,6,,,,,,,,,,,,,,,,,,,,12.421,0.33914,-0.00031695,1.4037e-07,-2.3712e-11,0.0,173.15
62_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,8,2,6,13,28,1,,7,4,,13,,,,,,,,4,5,11,,22,9,1,1,2,2,2,10,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,,,,,11.639,0.34648,-0.00032111,1.4174e-07,-2.3911e-11,0.0,173.91
fbsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,4,2,2,9,16,1,,3,,,9,,,,,,,,,1,4,,14,5,1,1,2,2,2,5,,,1,,2,1,,,2,4,2,4,2,,,,,,,,,,,,,,11.233,0.22125,-0.00021906,1.0109e-07,-1.7593e-11,0.0,131.19
fetsa,NS(=O)(=O)C(F)(F)C(F)(F)F,1,2,2,2,5,10,1,,1,,,5,,,,,,,,,,,,6,3,1,1,2,2,2,,,,,,2,1,,,2,4,3,4,2,,,,,,,,,,,,,,7.802,0.14442,-0.00014251,6.5988e-08,-1.1535e-11,0.0,104.17
fhpsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,7,2,2,15,25,1,,6,,,15,,,,,,,,,4,13,,26,8,1,1,2,2,2,8,,,1,,2,1,,,2,4,2,4,2,,,,,,,,,,,,,,16.036,0.33743,-0.00033486,1.5421e-07,-2.676e-11,0.0,172.27
nmefosaa,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,4,4,9,21,1,,4,2,1,9,,,,,,,,,1,4,,14,8,1,1,1,3,2,5,,,1,,2,1,,,1,2,2,4,2,1,1,1,1,2,2,1,2,1,2,4,1,1,11.743,0.27613,-0.00025754,1.1408e-07,-1.9287e-11,0.0,153.14
pfbs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,4,3,1,9,17,1,3,3,,1,9,,,1,2,,,,,1,4,,14,5,,,,,,5,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,,11.175,0.21519,-0.00021542,9.9673e-08,-1.7344e-11,0.0,129.89
pfets,O=S(=O)(O)C(F)(F)C(F)(F)F,1,2,3,1,5,11,1,3,1,,1,5,,,1,2,,,,,,,,6,3,,,,,,,,,,,3,,,,,,3,6,,,,,,,,,,,,,,,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,101.57
pfhps,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,7,3,1,15,26,1,3,6,,1,15,,,1,2,,,,,4,13,,26,8,,,,,,8,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,,16.251,0.33039,-0.00033001,1.5216e-07,-2.6394e-11,0.0,172.06
pfhxs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,3,1,13,23,1,3,5,,1,13,,,1,2,,,,,3,11,,22,7,,,,,,6,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,,14.784,0.29118,-0.00029077,1.341e-07,-2.3269e-11,0.0,158.46
pfpes,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,5,3,1,11,20,1,3,4,,1,11,,,1,2,,,,,2,9,,18,6,,,,,,4,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,,12.939,0.25323,-0.0002531,1.1688e-07,-2.0306e-11,0.0,144.31
pfprs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,1,3,3,1,7,14,1,3,2,,1,7,,,1,2,,,,,,2,,10,4,,,,,,3,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,,9.5353,0.17634,-0.0001765,8.1762e-08,-1.4246e-11,0.0,116.92
triflate_amide,NS(=O)(=O)C(F)(F)F,1,1,2,2,3,7,1,,,,,3,,,,,,,,,,,,,2,1,1,2,2,2,,,,,,,,,,2,4,,6,3,,,,,,,,,,,,,,5.7568,0.10706,-0.00010551,4.9102e-08,-8.6328e-12,0.0,87.728
triflic,O=S(=O)(O)C(F)(F)F,1,1,3,1,3,8,1,3,,,1,3,,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,6.0954,0.099749,-0.00010039,4.6934e-08,-8.2463e-12,0.0,87.011
