,Molecule,a0,a1,a2,a3,a4,H_f_0K,S_300K ,Unnamed: 0,S(300K)
0,O,4.9682,0.0,0.0,0.0,0.0,58.997,36.469,,
1,F,4.9682,0.0,0.0,0.0,0.0,18.47,36.176,,
2,HF,7.0265,-0.00037026,2.86e-07,3.51e-10,-1.43e-13,-65.18,41.525,,
3,O2,6.4985,0.0010753,2.07e-06,-1.91e-09,4.44e-13,0.0,48.998,,
4,CO2,4.7791,0.016904,-1.32e-05,5.17e-09,-8.06e-13,0.0,52.42,,
5,CF2,4.717,0.02003,-1.84e-05,7.84e-09,-1.27e-12,-46.34,57.490866,,
6,CFO,6.2029,0.012742,-9.09e-06,3.07e-09,-3.97e-13,-42.21,59.494,,
7,CF2O2,5.1022,0.046575,-4.5e-05,2.03e-08,-3.48e-12,-41.1,69.181,,
8,OH,7.075,-0.00071119,9.5e-07,-2.55e-11,-7.49e-14,8.91,42.602,,
9,H2O,7.7961,-0.0003717,3.9e-06,-1.99e-09,3.16e-13,-57.1,46.425211,,
10,CF2_OH,3.997,0.043748,-4.08e-05,1.81e-08,-3.07e-12,-109.79,13.856,,
11,CF2_H2O,14.805,0.024927,-2.07e-05,9.06e-09,-1.56e-12,-104.47,81.788,,
12,CF2H2O,2.7417,0.048881,-3.95e-05,1.58e-08,-2.47e-12,-159.19,65.583,,
13,CF2_2H2O,16.729,0.054232,-5.16e-05,2.5e-08,-4.63e-12,-167.11,97.532,,
14,CF22H2O,14.805,0.024927,-2.07e-05,9.06e-09,-1.56e-12,-238.46,81.788,,
15,CF4,2.1845,0.056239,-5.59e-05,2.55e-08,-4.39e-12,-221.71,62.561,,
16,CF2O,3.5356,0.033932,-3.07e-05,1.32e-08,-2.16e-12,-144.2,61.794995,,
17,CF2O_H2O,13.759,0.038391,-3.25e-05,1.41e-08,-2.39e-12,-205.55,84.355874,,
18,CF2OH2O,2.7915,0.070727,-6.84e-05,3.16e-08,-5.52e-12,-217.61,70.838,,
19,CF2O_2H2O,16.608,0.066137,-6.25e-05,2.99e-08,-5.47e-12,-275.55,97.532,,
20,CF2O2H2O,8.1811,0.088948,-8.59e-05,4.05e-08,-7.26e-12,-295.56,88.046,,
21,CF3,3.5673,0.037178,-3.56e-05,1.57e-08,-2.64e-12,-111.17,65.368433,,
22,CF3O,3.3106,0.054168,-5.43e-05,2.5e-08,-4.31e-12,-101.42,69.645,,
23,C2F4,4.9648,0.061892,-6.2e-05,2.9e-08,-5.13e-12,-160.29,73.976691,,
24,C2F4_OH,5.5231,0.083345,-8.1e-05,3.69e-08,-6.35e-12,-210.36,24.195,,
25,C2F4O2,7.0756,0.085872,-8.46e-05,3.85e-08,-6.59e-12,-145.69,88.684,,
26,C2F4O_epox,2.7566,0.081434,-7.99e-05,3.63e-08,-6.21e-12,-230.5,76.054,,
27,C3F6O_epox,4.2664,0.11981,-0.00011762,5.33e-08,-9.12e-12,-337.64,91.474,,
28,C3F6O2_dioxane,4.2387,0.13347,-0.00013031,5.87e-08,-9.98e-12,0.0,95.386,,
29,C3F6O2_1st,8.4398,0.12567,-0.00012458,5.69e-08,-9.78e-12,0.0,106.04,,
30,C4F7O,8.9241,0.13439,-0.00013079,5.91e-08,-1.01e-11,-300.33,106.98,,
31,C2F3O,7.1063,0.052812,-4.91e-05,2.15e-08,-3.61e-12,-146.25,76.899,,
32,CF3CFOH,5.4323,0.083676,-8.14e-05,3.71e-08,-6.4e-12,-231.88,83.107,,
33,CF2OH,4.0407,0.043616,-4.06e-05,1.8e-08,-3.05e-12,-109.79,67.02,,
34,C2F5,5.8156,0.073558,-7.11e-05,3.18e-08,-5.36e-12,-213.0,81.437321,,
35,C3F7,7.0521,0.11421,-0.00011277,5.1348,-8.8107e-12,-312.05,96.762,,
36,C4F9,8.816,0.15248,-0.00015088,6.88e-08,-1.18e-11,-409.98,114.89,,
37,C5F11,12.509,0.1821,-0.00017635,7.89e-08,-1.33e-11,-507.44,124.440708,,
38,C6F13,14.833,0.21805,-0.00021118,9.44e-08,-1.59e-11,-605.04,138.77868,,
39,C7F15,16.979,0.25448,-0.00024654,1.1e-07,-1.86e-11,-702.8,152.659706,,
40,C8F17,15.505,0.30662,-0.00030447,1.39e-07,-2.4e-11,-800.34,166.66,,
41,C3F4,6.1059,0.069647,-6.67e-05,3e-08,-5.12e-12,-119.08,81.873,,
42,C3F5,10.973,0.071301,-6.68e-05,2.93e-08,-4.92e-12,-160.82,90.468,,
43,butylallyl,9.4988,0.11984,-0.00011699,5.3e-08,-9.07e-12,-274.97,106.35,,
44,PFOA,14.415,0.31312,-0.00030747,1.4e-07,2.41e-11,-824.72,165.64,,
45,C7F15OH,13.438,0.29164,-0.0002889,1.32e-07,-2.28e-11,-803.55,155.44,,
46,C6F13OH,11.677,0.2534,-0.00025085,1.15e-07,-1.98e-11,-705.78,141.33,,
47,C5F11OH,10.013,0.21486,-0.00021245,9.73e-08,-1.68e-11,-608.21,127.61,,
48,C4F9OH,8.3241,0.17634,-0.00017406,7.97e-08,-1.38e-11,-510.19,113.68,,
49,C3F7OH,6.8733,0.13708,-0.0001347,6.16e-08,-1.06e-11,-412.21,101.53,,
50,C2F5OH,4.7496,0.1002,-9.85e-05,4.52e-08,-7.83e-12,-315.65,84.634,,
51,CF3OH,2.5913,0.063256,-6.19e-05,2.85e-08,-4.94e-12,-211.99,69.302,,
52,PFHpA,12.695,0.27476,-0.00026931,1.23e-07,-2.11e-11,-726.25,151.7,,
53,PFHxA,10.971,0.23643,-0.00023117,1.05e-07,-1.81e-11,-627.8,137.71,,
54,PFPnA,9.2229,0.19813,-0.00019306,8.77e-08,-1.5e-11,-529.33,123.69,,
55,PFBA,7.4932,0.15978,-0.00015489,7.02e-08,-1.2e-11,-430.68,110.04,,
56,PFPrA,5.734,0.12156,-0.00011689,5.28e-08,-9.03e-12,-331.96,96.214,,
57,TFA,3.9462,0.08361,-7.93e-05,3.56e-08,-6.09e-12,-250.52,80.676,,
58,C2F6,4.4745,0.092686,-9.19e-05,4.2e-08,-7.22e-12,-320.02,79.457408,,
59,C3F8,1.9759,0.054518,-1.01e-05,-6.9e-09,2.45e-12,-418.32,64.110605,,
60,C4F10,8.0151,0.16889,-0.00016744,7.65e-08,-1.32e-11,-516.57,112.543919,,
61,C5F12,9.7925,0.20703,-0.00020533,9.38e-08,-1.61e-11,-615.05,126.598051,,
62,C6F14,11.36,0.24597,-0.00024426,1.1171e-07,-1.9232e-11,-713.26,139.81,,
63,C7F16,13.078,0.28431,-0.00028241,1.29e-07,-2.22e-11,-811.67,153.808976,,
64,C8F18,14.412,0.32398,-0.00032223,1.48e-07,-2.54e-11,-909.28,166.526512,,
65,CF3H,2.8492,0.04023,-3.15e-05,1.18e-08,-1.71e-12,-164.85,62.105,,
66,C2F5H,4.1197,0.080406,-7.22e-05,3.07e-08,-5.01e-12,-263.33,79.748,,
67,C3F7H,5.9291,0.11846,-0.00011,4.81e-08,-8.01e-12,-361.38,95.555,,
68,C4F9H,7.3881,0.1577,-0.00014927,6.61e-08,-1.11e-11,-458.61,108.51,,
69,sC4F9H,6.6609,0.16006,-0.00015202,6.75e-08,-1.14e-11,-457.83,107.67,,
70,C5F11H,9.373,0.19517,-0.00018633,8.3e-08,-1.4e-11,-556.45,123.18,,
71,C6F13H,10.96,0.23396,-0.00022504,1.01e-07,-1.71e-11,-654.01,136.85,,
72,C7F15H,12.771,0.27204,-0.00026288,1.18e-07,-2.01e-11,-751.79,150.76,,
73,C8F17H,14.24,0.3113,-0.00030219,1.36e-07,-2.32e-11,-958.27,164.19,,
74,cC3F6,6.2633,0.099252,-9.6e-05,4.3e-08,-7.29e-12,-234.7,87.044,,
75,C3F6,6.3689,0.09903,-9.65e-05,4.37e-08,-7.48e-12,-264.42,89.765305,,
76,cC4F8,6.2333,0.14106,-0.00013679,6.14e-08,-1.04e-11,-370.51,96.448287,,
77,1C4F8,8.2447,0.13653,-0.00013345,6.05e-08,-1.04e-11,-371.81,104.398839,,
78,1C4F8_OH,8.959,0.16092,-0.00015895,7.29e-08,-1.26e-11,-419.97,44.901,,
79,2C4F8_OH,8.3784,0.16198,-0.00015979,7.32e-08,-1.27e-11,-414.97,44.591,,
80,2C4F8,7.1603,0.14015,-0.00013764,6.26e-08,-1.07e-11,-379.88,106.06,,
81,rC4F8,9.9754,0.13412,-0.00013135,5.94e-08,-1.01e-11,-296.79,107.9,,
82,1C5F10,10.062,0.17448,-0.00017105,7.77e-08,-1.33e-11,-470.07,119.44,,
83,2C5F10,9.1206,0.17742,-0.00017433,7.92e-08,-1.36e-11,-478.17,119.98,,
84,1C6F12,11.802,0.21282,-0.00020922,9.51e-08,-1.63e-11,-567.5,134.2,,
85,2C6F12,10.874,0.21558,-0.0002122,9.65e-08,-1.66e-11,-575.6,135.25,,
86,1C7F14,13.372,0.25169,-0.00024804,1.13e-07,-1.94e-11,-665.26,147.34,,
87,2C7F14,12.666,0.2538,-0.00025026,1.14e-07,-1.96e-11,-673.36,149.61,,
88,1C8F16,15.173,0.28984,-0.00028597,1.3e-07,-2.24e-11,-763.52,161.73,,
89,2C8F16,14.264,0.29254,-0.00028888,1.32e-07,-2.26e-11,-771.62,162.83,,
90,sC3F7,7.8084,0.11084,-0.00010769,4.83e-08,-8.17e-12,-318.55,99.051,,
91,sC4F9,8.7357,0.153,-0.00015161,6.92e-08,-1.19e-11,-417.63,113.918165,,
92,sC5F11,10.623,0.19066,-0.00018888,8.62e-08,-1.48e-11,-515.44,129.45,,
93,sC6F13,12.314,0.22917,-0.00022726,1.04e-07,-1.79e-11,-613.03,142.85,,
94,sC7F15,14.118,0.26726,-0.0002651,1.21e-07,-2.08e-11,-710.8,157.13,,
95,sC8F17,15.714,0.30607,-0.00030385,1.39e-07,-2.39e-11,-917.28,170.93,,
96,C2F4H2O,4.0754,0.088753,-7.97e-05,3.44e-08,-5.7e-12,-264.63,80.947,,
97,PFHPAL,14.026,0.26416,-0.00026033,1.19e-07,-2.04e-11,-723.56,151.43,,
