Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds
cf3oh,CHF3O,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,3.0,1.0,1.0,OC(F)(F)F,0
1H_ethane,C2HF5,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,1.0,0.0,FC(F)C(F)(F)F,0
c2_rad,C2F5,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,0.0,F[C](F)C(F)(F)F,0
allene,C3F4,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,FC(F)=C=C(F)F,0
cho2h,CH2O2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,O=CO,0
cf3ccf2,C3F5,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,0.0,FC(F)=[C]C(F)(F)F,0
epoxide,C2F4O,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,4.0,0.0,1.0,FC1(F)OC1(F)F,0
ch3,CH3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,[CH3],0
cf2h,CHF2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,F[CH]F,0
lactone,C2F2O2,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,O=C1OC1(F)F,0
cf4,CF4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,FC(F)(F)F,0
cf3cf_carbene,C2F4,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,F[C]C(F)(F)F,0
co,CO,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,[C]=O,0
c3f6,C3F6,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,0.0,0.0,FC(F)=C(F)C(F)(F)F,0
c3f7_2nd,C3F7,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,7.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)F,0
c3f6o2_ring,C3F6O2,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,11.0,3.0,6.0,0.0,2.0,FC(F)(F)[C@@]1(F)OOC1(F)F,0
hfp_1oh_2rad_scan,C3HF6O,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,6.0,1.0,1.0,FC(F)=C(F)C(F)(F)F.[OH],0
cf3chf,C2HF4,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,0.0,F[CH]C(F)(F)F,0
c2f4o,C2F4O,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,1.0,O=C(F)C(F)(F)F,0
f,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,[F],0
cf2o_2h2oreact,CH4F2O3,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,2.0,4.0,3.0,O.O.O=C(F)F,0
cbutane,C4F8,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,0.0,0.0,FC1(F)C(F)(F)C(F)(F)C1(F)F,0
2_butene_ip,C4F8,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,8.0,0.0,0.0,F/C(=C(/F)C(F)(F)F)C(F)(F)F,0
cf3co,C2F3O,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,1.0,O=[C]C(F)(F)F,0
o2,O2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,O=O,0
propene_calpha_rad,C3F5,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,0.0,F/[C]=C(\F)C(F)(F)F,0
c3f6o,C3F6O,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,10.0,3.0,6.0,0.0,1.0,FC(F)(F)[C@@]1(F)OC1(F)F,0
h2o,H2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,O,0
chfo2,CHFO2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,O=C(O)F,0
cf2_h2o_ts_react,CH2F2O,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,2.0,1.0,F[C]F.O,0
propene_talphaF_rad,C3F5,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,0.0,F/[C]=C(/F)C(F)(F)F,0
cf2cf,C2F3,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,F[C]=C(F)F,0
cf3o,CF3O,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,[O]C(F)(F)F,0
cof,CFO,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,O=[C]F,0
cf2o_h2o,CH2F2O2,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,2.0,2.0,O.O=C(F)F,0
cooh2,CH2O3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,3.0,O=C(O)O,0
cfho,CHFO,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,O=CF,0
cfo2,CFO2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,[O]C(=O)F,0
c4_sec_sec_rad_isots,C4F9,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,9.0,0.0,0.0,F/C(=C(/F)C(F)(F)F)C(F)(F)F.[F],0
ch2F,CH2F,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,[CH2]F,0
21_propene,C3H2F4,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,2.0,0.0,C=C(F)C(F)(F)F,0
oh,HO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,[OH],0
c2f4,C2F4,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,FC(F)=C(F)F,0
hf,HF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,F,0
co2,CO2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,O=C=O,0
cf2_2h2o,CH4F2O2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,2.0,4.0,2.0,F[C]F.O.O,0
cpropane_picomplex,C3F6,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,FC(F)=C(F)F.F[C]F,0
1H_methane,CHF3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,FC(F)F,0
tfa,C2HF3O2,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,3.0,1.0,2.0,O=C(O)C(F)(F)F,0
cpropane,C3F6,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,0.0,FC1(F)C(F)(F)C1(F)F,0
c3f8,C3F8,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,8.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)F,0
cf2o,CF2O,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,O=C(F)F,0
cf2,CF2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,F[C]F,0
cf3,CF3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,F[C](F)F,0
c2f6,C2F6,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,0.0,0.0,FC(F)(F)C(F)(F)F,0
