Molecule,SMILES,C Count,F Count,Total sp3 Count,sp3 C-F Count,sp3 C-C Count,Total sp2 Count,sp2 C-C Count,Torsions F-C-C-F,Torsions F-C-C-C,Torsions C-C-C-F,Rotatable Bonds Count,O Count,sp3 C-O Count,H Count,sp3 C-H Count,Torsions F-C-C-H,sp3 O-O Count,Torsions O-C-C-F,sp2 C-O Count,sp3 H-O Count,Torsions F-C-C-O,Torsions F-C-O-H,Torsions O-C-O-H,Torsions H-C-O-H,sp3 F-H Count,sp2 O-O Count,Torsions C-C-O-H,Torsions H-C-C-F
2_butene,F/C(=C(/F)C(F)(F)F)C(F)(F)F,4,8,10,8,2,1,1,6,3,3,0,,,,,,,,,,,,,,,,,
c2f4,FC(F)=C(F)F,2,4,4,4,,1,1,,,,0,,,,,,,,,,,,,,,,,
epoxide,FC1(F)OC1(F)F,2,4,7,4,1,,,,,,0,1,2,,,,,,,,,,,,,,,
c2f5,F[C](F)C(F)(F)F,2,5,6,5,1,,,6,,,0,,,,,,,,,,,,,,,,,
ethane1H,FC(F)C(F)(F)F,2,5,7,5,1,,,6,,,0,,,1,1,3,,,,,,,,,,,,
c2f6,FC(F)(F)C(F)(F)F,2,6,7,6,1,,,9,,,0,,,,,,,,,,,,,,,,,
allene,FC(F)=C=C(F)F,3,4,4,4,,2,2,,,,0,,,,,,,,,,,,,,,,,
cf3ccf2,FC(F)=[C]C(F)(F)F,3,5,6,5,1,1,1,,3,,0,,,,,,,,,,,,,,,,,
propene,FC(F)=C(F)C(F)(F)F,3,6,7,6,1,1,1,3,,3,0,,,,,,,,,,,,,,,,,
c3f6o2_ring,FC(F)(F)[C@@]1(F)OOC1(F)F,3,6,11,6,2,,,3,,3,0,2,2,,,,1,3,,,,,,,,,,
c3f6o,FC(F)(F)[C@@]1(F)OC1(F)F,3,6,10,6,2,,,3,,3,0,1,2,,,,,3,,,,,,,,,,
c3f8,FC(F)(F)C(F)(F)C(F)(F)F,3,8,10,8,2,,,12,3,3,0,,,,,,,,,,,,,,,,,
cf2,F[C]F,1,2,2,2,,,,,,,0,,,,,,,,,,,,,,,,,
cf2h,F[CH]F,1,2,3,2,,,,,,,0,,,1,1,,,,,,,,,,,,,
cf2o,O=C(F)F,1,2,2,2,,1,,,,,0,1,,,,,,,1,,,,,,,,,
cf2o_2h2oreact,O.O.O=C(F)F,1,2,6,2,,1,,,,,0,3,,4,,,,,1,4,,,,,,,,
cf2o_h2o,O.O=C(F)F,1,2,4,2,,1,,,,,0,2,,2,,,,,1,2,,,,,,,,
cf2_2h2o,F[C]F.O.O,1,2,6,2,,,,,,,0,2,,4,,,,,,4,,,,,,,,
cf2_h2o_ts_react,F[C]F.O,1,2,4,2,,,,,,,0,1,,2,,,,,,2,,,,,,,,
cf3,F[C](F)F,1,3,3,3,,,,,,,0,,,,,,,,,,,,,,,,,
cf3co,O=[C]C(F)(F)F,2,3,4,3,1,1,,,,,0,1,,,,,,,1,,3,,,,,,,
cf3h,FC(F)F,1,3,4,3,,,,,,,0,,,1,1,,,,,,,,,,,,,
cf3o,[O]C(F)(F)F,1,3,4,3,,,,,,,0,1,1,,,,,,,,,,,,,,,
