Molecule,SMILES,C,F,sp3 Total Bond Count,Pair Count sp3 C-F,Pair Count sp3 C-C,sp2 Total Bond Count,Pair Count sp2 C-C,C-C-C-C,C-C-C-F,F-C-C-C,F-C-C-F,Number of Rot. Bonds,O,H,Pair Count sp3 H-O,Pair Count sp3 C-O,H-O-C-F,H-O-C-C,O-C-C-C,O-C-C-F,F-C-C-O,C-C-C-O,C-C-O-H,F-C-O-H,Pair Count sp2 C-O,Pair Count sp3 C-H,F-C-C-H,O-C-C-H,Pair Count sp3 O-O,C-C-O-O,F-C-O-O,C-C-C-H,H-C-O-H,O-C-O-H,H-O-C-O,C-C-O-C,F-C-O-C,C-O-C-H,C-O-C-F,C-O-C-C,H-C-C-F,O-C-C-O,C-O-C-O,O-C-O-C,H-C-C-C,H-C-C-O,H-C-C-H
butene,FC(F)=C(F)C(F)(F)C(F)(F)F,4,8,10,46,9,1,1,1,5,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butene_OH,OC(F)(F)[C](F)C(F)(F)C(F)(F)F,4,8,13,65,21,,,1,5,3,10,4,1,1,2,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
pentene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,5,10,13,72,19,1,1,2,7,3,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hexene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,12,16,110,26,1,1,3,8,6,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heptene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,14,19,155,35,1,1,4,10,8,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
octene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,16,22,198,55,1,1,5,12,10,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butene_2OH,O[C@](F)([C](F)F)C(F)(F)C(F)(F)F,4,8,13,50,16,,,1,4,4,10,4,1,1,13,12,,,,,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
2_pentene,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F,5,10,13,71,20,1,1,1,7,2,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_hexene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,12,16,114,22,1,1,2,9,4,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heptene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,7,14,19,141,49,1,1,3,11,6,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_octene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,8,16,22,191,62,1,1,4,13,8,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2f3_o,O=C(F)[C](F)F,2,3,4,6,4,1,,,,,2,1,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
c2f4h2o_prod,OC(F)(F)C(F)F,2,4,8,15,4,,,,,,4,2,1,2,8,7,,,,2,,,1,2,,2,2,1,,,,,,,,,,,,,,,,,,,
c2f4o2,[O]OC(F)(F)[C](F)F,2,4,7,15,2,,,,,,4,2,2,,,6,,,,,2,,,,,,,,5,1,2,,,,,,,,,,,,,,,,
c2f4_oh,OC(F)(F)[C](F)F,2,4,7,13,2,,,,,,4,2,1,1,6,7,,,,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,
c2f5oh,OC(F)(F)C(F)(F)F,2,5,8,21,3,,,,,,6,2,1,1,8,4,,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
c3f6o2_1st,[O]OC(F)(F)[C](F)C(F)(F)F,3,6,10,40,4,,,,5,,5,3,2,,,4,,,,,1,1,,,,,,,7,1,2,,,,,,,,,,,,,,,,
c3f7,F[C](F)C(F)(F)C(F)(F)F,3,7,9,36,9,,,,2,3,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propane1H,FC(F)C(F)(F)C(F)(F)F,3,7,10,36,9,,,,2,3,10,2,,1,,,,,,,,,,,,10,2,,,,,1,,,,,,,,,,,,,,,
c3f7oh,OC(F)(F)C(F)(F)C(F)(F)F,3,7,11,36,9,,,,2,3,10,3,1,1,11,10,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
butane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,10,13,72,19,,,1,5,5,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4f7_o,O=C(F)[C](F)C(F)(F)C(F)(F)F,4,7,10,41,14,1,,1,6,1,9,3,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
c4_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,4,9,12,61,17,,,1,7,2,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)F,4,9,13,57,21,,,1,4,5,14,3,,1,,,,,,,,,,,,13,2,,,,,1,,,,,,,,,,,,,,,
c4f9oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,9,14,61,17,,,1,5,4,14,4,1,1,13,14,,,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
c5_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,15,94,26,,,2,9,4,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pentane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,16,95,29,,,2,9,4,18,4,,1,,,,,,,,,,,,12,2,,,,,1,,,,,,,,,,,,,,,
