SMILES,Molecule,Veri. SMILES,Log Name,Log Path
FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C7HF15,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,heptane1H,/qchem_data/log_to_pdb_in/heptane1H.log
[O]C([C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)O,C6HF12O3,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903_cof_OH,/qchem_data/log_to_pdb_in/frd_903_cof_OH.log
OC(F)(F)F,CHF3O,OC(F)(F)F,cf3oh,/qchem_data/log_to_pdb_in/cf3oh.log
FC(C(F)(F)F)F,C2HF5,FC(F)C(F)(F)F,1H_ethane,/qchem_data/log_to_pdb_in/1H_ethane.log
OC(=O)[C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,C6HF11O3,O=C(O)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903,/qchem_data/log_to_pdb_in/frd_903.log
F[C](C(F)(F)F)F,C2F5,F[C](F)C(F)(F)F,c2_rad,/qchem_data/log_to_pdb_in/c2_rad.log
F[C]([C@@](C(C(F)(F)F)(F)F)(F)O)F,C4HF8O,O[C@](F)([C](F)F)C(F)(F)C(F)(F)F,butene_2OH,/qchem_data/log_to_pdb_in/butene_2OH.log
OC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C7HF13O2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhpa,/qchem_data/log_to_pdb_in/pfhpa.log
FC(=C=C(F)F)F,C3F4,FC(F)=C=C(F)F,allene,/qchem_data/log_to_pdb_in/allene.log
FC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C7F14O,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhpal,/qchem_data/log_to_pdb_in/pfhpal.log
OC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C5HF11O,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfpeoh,/qchem_data/log_to_pdb_in/pfpeoh.log
FC(=C)C(C(F)(F)F)(F)F,C4H2F6,C=C(F)C(F)(F)C(F)(F)F,31_butene,/qchem_data/log_to_pdb_in/31_butene.log
FC(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)F,C5F12,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pentane,/qchem_data/log_to_pdb_in/pentane.log
OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C5HF9O2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1_pentane,/qchem_data/log_to_pdb_in/1_pentane.log
F[C](C(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F,C5F11,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,c5_secondary_rad,/qchem_data/log_to_pdb_in/c5_secondary_rad.log
FC(=O)[C](C(F)(F)F)F.F,C3HF6O,F.O=C(F)[C](F)C(F)(F)F,hfp_1oh_2rad_scanhf,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scanhf.log
F[C](C(C(F)(F)F)(F)F)F,C3F7,F[C](F)C(F)(F)C(F)(F)F,1_propyl,/qchem_data/log_to_pdb_in/1_propyl.log
OC=O,CH2O2,O=CO,cho2h,/qchem_data/log_to_pdb_in/cho2h.log
FC(=[C]C(F)(F)F)F,C3F5,FC(F)=[C]C(F)(F)F,cf3ccf2,/qchem_data/log_to_pdb_in/cf3ccf2.log
FC(C(F)(F)O)(F)F,C2HF5O,OC(F)(F)C(F)(F)F,pfeoh,/qchem_data/log_to_pdb_in/pfeoh.log
FC1(F)OC1(F)F,C2F4O,FC1(F)OC1(F)F,epoxide,/qchem_data/log_to_pdb_in/epoxide.log
[CH3],CH3,[CH3],ch3,/qchem_data/log_to_pdb_in/ch3.log
FC(=C)C(C(C(F)(F)F)(F)F)(F)F,C5H2F8,C=C(F)C(F)(F)C(F)(F)C(F)(F)F,41_pentene,/qchem_data/log_to_pdb_in/41_pentene.log
[O]OC([C](F)F)(F)F,C2F4O2,[O]OC(F)(F)[C](F)F,c2f4o2,/qchem_data/log_to_pdb_in/c2f4o2.log
OCCC(C(F)(F)F)(F)F,C4H5F5O,OCCC(F)(F)C(F)(F)F,22ftoh,/qchem_data/log_to_pdb_in/22ftoh.log
F[CH]F,CHF2,F[CH]F,cf2h,/qchem_data/log_to_pdb_in/cf2h.log
FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S([O])(O)[O])F,C7HF15O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhps,/qchem_data/log_to_pdb_in/pfhps.log
O=C1OC1(F)F,C2F2O2,O=C1OC1(F)F,lactone,/qchem_data/log_to_pdb_in/lactone.log
FC(C(C(S(=O)(=O)N)(F)F)(F)F)(C(F)(F)F)F,C4H2F9NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fbsa,/qchem_data/log_to_pdb_in/fbsa.log
C=CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H3F11,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,52_heptene,/qchem_data/log_to_pdb_in/52_heptene.log
F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F.[F],C5F11,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F.[F],c5_sec_tert_rad_isots,/qchem_data/log_to_pdb_in/c5_sec_tert_rad_isots.log
[O]C(OC(F)(F)F)(F)F,C2F5O2,[O]C(F)(F)OC(F)(F)F,cf3o_cf2o_prod,/qchem_data/log_to_pdb_in/cf3o_cf2o_prod.log
OC(F)(F)O.O,CH4F2O3,O.OC(O)(F)F,cf2o_2h2oprod,/qchem_data/log_to_pdb_in/cf2o_2h2oprod.log
FC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C12HF25,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_dodecane,/qchem_data/log_to_pdb_in/1H_dodecane.log
CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H5F9,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42rh,/qchem_data/log_to_pdb_in/42rh.log
FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,C8H2F17NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fosa,/qchem_data/log_to_pdb_in/fosa.log
FC(=O)[C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,C6F12O2,O=C(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903_carbF,/qchem_data/log_to_pdb_in/frd_903_carbF.log
O[C](F)F,CHF2O,O[C](F)F,cf2oh,/qchem_data/log_to_pdb_in/cf2oh.log
NS(=O)(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H6F11NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,52_ftsa,/qchem_data/log_to_pdb_in/52_ftsa.log
F[C](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(F)(F)F,C8F17,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,c8_secondary_rad,/qchem_data/log_to_pdb_in/c8_secondary_rad.log
FC(F)(F)F,CF4,FC(F)(F)F,cf4,/qchem_data/log_to_pdb_in/cf4.log
F[C](C(C(C(F)(F)F)(F)F)(F)F)F,C4F9,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,1_octane_c4_rad,/qchem_data/log_to_pdb_in/1_octane_c4_rad.log
F[C]C(F)(F)F,C2F4,F[C]C(F)(F)F,cf3cf_carbene,/qchem_data/log_to_pdb_in/cf3cf_carbene.log
C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H3F9,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42_hexene,/qchem_data/log_to_pdb_in/42_hexene.log
[C]=O,CO,[C]=O,co,/qchem_data/log_to_pdb_in/co.log
F[C](C(F)(F)F)C(F)(F)O,C3HF6O,OC(F)(F)[C](F)C(F)(F)F,hfp_1oh_2nd,/qchem_data/log_to_pdb_in/hfp_1oh_2nd.log
FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C10HF21,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_decane,/qchem_data/log_to_pdb_in/1H_decane.log
FC(C(F)(F)F)(CCS([O])([O])O)F,C4H5F5O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)F,22_fts,/qchem_data/log_to_pdb_in/22_fts.log
FC(=C(C(F)(F)F)F)F,C3F6,FC(F)=C(F)C(F)(F)F,c3f6,/qchem_data/log_to_pdb_in/c3f6.log
F[C](C(F)(F)F)C(F)(F)F,C3F7,F[C](C(F)(F)F)C(F)(F)F,c3f7_2nd,/qchem_data/log_to_pdb_in/c3f7_2nd.log
FC([C@@]1(F)OOC1(F)F)(F)F,C3F6O2,FC(F)(F)[C@@]1(F)OOC1(F)F,c3f6o2_ring,/qchem_data/log_to_pdb_in/c3f6o2_ring.log
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(F)(F)F,C6F13,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2_hexyl,/qchem_data/log_to_pdb_in/2_hexyl.log
O[C]=O,CHO2,O=[C]O,co2h,/qchem_data/log_to_pdb_in/co2h.log
FC(=C(C(F)(F)F)F)F.[OH],C3HF6O,FC(F)=C(F)C(F)(F)F.[OH],hfp_1oh_2rad_scan,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scan.log
O=C1O[C@]1(OC(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F.F,C6HF11O3,F.O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903_0HFAts_prod,/qchem_data/log_to_pdb_in/frd_903_0HFAts_prod.log
FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C8HF17,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,octane1H,/qchem_data/log_to_pdb_in/octane1H.log
