Molecule,Torsions Torsions Info 0 Torsions 0 Torsion Indices 3,Torsions Torsions Info 0 Torsions 1 Torsion Indices 3,Torsions Torsions Info 0 Torsions 2 Torsion Indices 3,Torsions Torsions Info 0 Torsions 3 Torsion Indices 3,Torsions Torsions Info 0 Torsions 5 Torsion Indices 3,Torsions Torsions Info 0 Torsions 8 Torsion Indices 3,Torsions Torsions Info 1 Torsions 11 Torsion Indices 3,Torsions Torsions Info 1 Torsions 14 Torsion Indices 3,Torsions Torsions Info 1 Torsions 17 Torsion Indices 3,Torsions Torsions Info 1 Torsions 3 Torsion Indices 3,Torsions Torsions Info 1 Torsions 5 Torsion Indices 3,Torsions Torsions Info 1 Torsions 7 Torsion Indices 3,Torsions Torsions Info 1 Torsions 8 Torsion Indices 3,Torsions Torsions Info 1 Torsions 9 Torsion Indices 3,Torsions Torsions Info 10 Torsions 98 Torsion Indices 3,Torsions Torsions Info 2 Torsions 10 Torsion Indices 3,Torsions Torsions Info 2 Torsions 14 Torsion Indices 3,Torsions Torsions Info 2 Torsions 18 Torsion Indices 3,Torsions Torsions Info 2 Torsions 20 Torsion Indices 3,Torsions Torsions Info 2 Torsions 23 Torsion Indices 3,Torsions Torsions Info 2 Torsions 26 Torsion Indices 3,Torsions Torsions Info 2 Torsions 8 Torsion Indices 3,Torsions Torsions Info 3 Torsions 23 Torsion Indices 3,Torsions Torsions Info 3 Torsions 25 Torsion Indices 3,Torsions Torsions Info 3 Torsions 29 Torsion Indices 3,Torsions Torsions Info 3 Torsions 32 Torsion Indices 3,Torsions Torsions Info 3 Torsions 35 Torsion Indices 3,Torsions Torsions Info 4 Torsions 24 Torsion Indices 3,Torsions Torsions Info 4 Torsions 28 Torsion Indices 3,Torsions Torsions Info 4 Torsions 32 Torsion Indices 3,Torsions Torsions Info 4 Torsions 34 Torsion Indices 3,Torsions Torsions Info 4 Torsions 38 Torsion Indices 3,Torsions Torsions Info 4 Torsions 41 Torsion Indices 3,Torsions Torsions Info 4 Torsions 44 Torsion Indices 3,Torsions Torsions Info 5 Torsions 35 Torsion Indices 3,Torsions Torsions Info 5 Torsions 38 Torsion Indices 3,Torsions Torsions Info 5 Torsions 43 Torsion Indices 3,Torsions Torsions Info 5 Torsions 47 Torsion Indices 3,Torsions Torsions Info 5 Torsions 50 Torsion Indices 3,Torsions Torsions Info 5 Torsions 53 Torsion Indices 3,Torsions Torsions Info 6 Torsions 44 Torsion Indices 3,Torsions Torsions Info 6 Torsions 52 Torsion Indices 3,Torsions Torsions Info 6 Torsions 56 Torsion Indices 3,Torsions Torsions Info 6 Torsions 59 Torsion Indices 3,Torsions Torsions Info 6 Torsions 62 Torsion Indices 3,Torsions Torsions Info 7 Torsions 55 Torsion Indices 3,Torsions Torsions Info 7 Torsions 61 Torsion Indices 3,Torsions Torsions Info 7 Torsions 65 Torsion Indices 3,Torsions Torsions Info 7 Torsions 68 Torsion Indices 3,Torsions Torsions Info 7 Torsions 71 Torsion Indices 3,Torsions Torsions Info 8 Torsions 74 Torsion Indices 3,Torsions Torsions Info 8 Torsions 77 Torsion Indices 3,Torsions Torsions Info 8 Torsions 80 Torsion Indices 3,Torsions Torsions Info 9 Torsions 89 Torsion Indices 3
C7HF15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6HF12O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF3O,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2HF5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6HF11O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2F5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4HF8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7HF13O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7F14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
