Molecule,a0,a1,a2,a3,a4,S,Molecular Formula,Veri. SMILES,SMILES,Log Path
1H_decane,17.975199405756136,0.3870672281704129,-0.0003773739256687,1.705824790936845e-07,-2.913537604903865e-11,193.248,C10HF21,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_decane.log
1H_dodecane,21.373009604873552,0.4639564349647418,-0.0004539477422089,2.0568420695477385e-07,-3.519027729197137e-11,220.307,C12HF25,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_dodecane.log
1H_nonane,16.009968614494742,0.349467552113992,-0.0003401188461112,1.535769878119755e-07,-2.621194957846128e-11,178.224,C9HF19,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_nonane.log
1H_undecane,19.678133962901207,0.4254068506456538,-0.0004154802568927,1.880230856469384e-07,-3.21400541798054e-11,206.63,C11HF23,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_undecane.log
22_fts,5.807246737315348,0.1847962378205838,-0.0001631384914755,6.983409953253589e-08,-1.1540136849909149e-11,116.653,C4H5F5O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)F,FC(C(F)(F)F)(CCS([O])([O])O)F,/qchem_data/log_to_pdb_in/22_fts.log
22_ftsa,4.898185317695491,0.1924474210488535,-0.0001676286841213,7.135801055275732e-08,-1.1768007108638523e-11,117.547,C4H6F5NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)F,FC(C(F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/22_ftsa.log
23_ftca,3.837466756354551,0.1667709008781516,-0.0001389346158866,5.6651685593885794e-08,-9.000774903868269e-12,110.951,C5H5F5O2,O=C(O)CCC(F)(F)C(F)(F)F,OC(=O)CCC(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/23_ftca.log
32_fts,7.323904463367576,0.2237744659660565,-0.000202038383001,8.76924606598533e-08,-1.462382735801964e-11,132.058,C5H5F7O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,FC(C(C(F)(F)F)(F)F)(CCS(O)([O])[O])F,/qchem_data/log_to_pdb_in/32_fts.log
32_ftsa,6.524234729420646,0.2311925131761979,-0.0002063003930886,8.91138440603e-08,-1.4834533066167426e-11,132.862,C5H6F7NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,FC(C(C(F)(F)F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/32_ftsa.log
33_ftca,5.659241230646331,0.2047937995630486,-0.0001766753256552,7.3899374957146e-08,-1.1967973343939338e-11,127.082,C6H5F7O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/33_ftca.log
42_fts,8.987956527421773,0.262300050020243,-0.0002404019126724,1.0527683045813465e-07,-1.765682422259479e-11,145.438,C6H5F9O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS([O])([O])O)F,/qchem_data/log_to_pdb_in/42_fts.log
42_ftsa,8.219299786424456,0.2695088331275519,-0.0002443501454258,1.0651731606428753e-07,-1.783147255703523e-11,146.033,C6H6F9NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/42_ftsa.log
42_hexene,6.862699442493423,0.199691414286846,-0.0001854346864862,8.179368215361655e-08,-1.3781794896630619e-11,119.976,C6H3F9,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/42_hexene.log
43_ftca,7.284914894486452,0.2434879834619339,-0.0002152775399374,9.16201329554483e-08,-1.5028340867887324e-11,140.153,C7H5F9O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/43_ftca.log
52_fts,10.630282816373384,0.3009399731397337,-0.0002789387640839,1.2296340302129064e-07,-2.0710662124638078e-11,158.744,C7H5F11O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],/qchem_data/log_to_pdb_in/52_fts.log
