Molecule,SMILES,Global Sum: Rot Bonds,C Count,F Count,O Count,H Count,Global Sum: bo 1.0,Local Sum: bo 1.0 C-F,Local Sum: bo 1.0 H-O,Global Sum: bo 2.0,Local Sum: bo 2.0 C-O,Local Sum: bo 1.0 C-C,Local Sum: bo 1.0 C-H,Local Sum: bo 2.0 C-C,Local Sum: F-C-C-C Torsional Axes,Local Sum: F-C-C-H Torsional Axes,Local Sum: C-C-C-C Torsional Axes,Local Sum: C-C-C-H Torsional Axes,Local Sum: F-C-C-F Torsional Axes,Local Sum: C-C-C-F Torsional Axes,Local Sum: *H-C-C-C Torsional Axes,Local Sum: *F-C-C-C Torsional Axes,Global Sum: Torsional Axes,Local Sum: bo 2.0 O-O,Local Sum: bo 1.0 C-O,Local Sum: C-C-C-O Torsional Axes,Local Sum: F-C-C-O Torsional Axes,Local Sum: C-C-O-H Torsional Axes,Local Sum: O-C-O-H Torsional Axes,Local Sum: C-C-O-C Torsional Axes,Local Sum: F-C-O-C Torsional Axes,Local Sum: C-O-C-C Torsional Axes,Local Sum: C-O-C-F Torsional Axes,Local Sum: O-C-C-O Torsional Axes,Local Sum: O-C-C-F Torsional Axes,Local Sum: H-C-C-C Torsional Axes,Local Sum: H-C-C-H Torsional Axes,Local Sum: H-C-C-O Torsional Axes,Local Sum: H-C-O-H Torsional Axes,Local Sum: O-C-O-C Torsional Axes,Local Sum: F-C-O-H Torsional Axes,Local Sum: bo 1.0 O-O,Local Sum: C-C-O-O Torsional Axes,Local Sum: F-C-O-O Torsional Axes,Local Sum: H-C-C-F Torsional Axes,Local Sum: bo 1.0 F-H,Local Sum: O-C-C-H Torsional Axes,Local Sum: C-O-C-O Torsional Axes,Local Sum: O-C-C-C Torsional Axes,Local Sum: H-O-C-F Torsional Axes,Local Sum: H-O-C-C Torsional Axes,Local Sum: H-O-C-O Torsional Axes,Local Sum: C-O-C-H Torsional Axes,a0,a1,a2,a3,a4,H_f_0K,S_300K 
cf2o_h2o,O.O=C(F)F,0,1,2,2,2,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.759,0.038391,-0.0000325,0.0000000141,-2.39E-12,-205.55,84.355874
52_heptene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,7,11,0,3,19,11,0,1,0,5,3,1,8,2,4,1,18,9,1,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7437,0.23752,-0.00022295,0.000000098925,-1.6728E-11,0,134.24
o2,O=O,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4985,0.0010753,0.00000207,-0.00000000191,4.44E-13,0,48.998
1_octane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,8,15,2,1,24,15,1,1,1,7,0,0,10,0,5,0,26,13,0,23,62,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.415,0.31312,-0.00030747,0.00000014,2.41E-11,-824.72,165.64
frd_903,O=C(O)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,4,6,11,3,1,19,11,1,1,1,4,0,0,3,0,0,0,13,5,0,8,41,0,3,3,4,1,1,1,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06,0.25241,-0.00024666,0.000000112,-1.92E-11,0,143.52
cf2o_2h2oreact,O.O.O=C(F)F,0,1,2,3,4,6,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.608,0.066137,-0.0000625,0.0000000299,-5.47E-12,-275.55,97.532
cf3h,FC(F)F,0,1,3,0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8492,0.04023,-0.0000315,0.0000000118,-1.71E-12,-164.85,62.105
23_ftca,O=C(O)CCC(F)(F)C(F)(F)F,3,5,5,2,5,15,5,1,1,1,4,4,0,2,4,2,4,6,3,6,5,35,0,1,2,0,1,1,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8371,0.16677,-0.00013893,0.000000056652,-9.0007E-12,0,110.95
h2o,O,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7961,-0.0003717,0.0000039,-0.00000000199,3.16E-13,-57.1,46.425211
cpropane,FC1(F)C(F)(F)C1(F)F,0,3,6,0,0,9,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2633,0.099252,-0.000096,0.000000043,-7.29E-12,-234.7,87.044
42rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,6,9,0,5,19,9,0,0,0,5,5,0,9,4,3,5,14,4,5,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3155,0.20246,-0.0001746,0.000000073015,-1.1831E-11,0,121.66
cfo,O=[C]F,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2029,0.012742,-0.00000909,0.00000000307,-3.97E-13,-42.21,59.494
pfocof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,7,14,1,0,20,14,0,1,1,6,0,0,8,0,4,0,24,12,0,20,51,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.079,0.26393,-0.00026002,0.00000011838,-2.0328E-11,0,151.88
butane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,4,10,0,0,13,10,0,0,0,3,0,0,5,0,1,0,16,5,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0151,0.16889,-0.00016744,0.0000000765,-1.32E-11,-516.57,112.543919
cho2h,O=CO,0,1,0,2,2,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6706,0.02813,-0.0000158,0.00000000402,-3.26E-13,-88.67,59.346
1_propane,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,2,4,7,3,1,13,7,1,1,1,2,0,0,3,0,0,0,10,2,0,5,25,0,3,1,2,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.734,0.12156,-0.00011689,0.0000000528,-9.03E-12,-331.96,96.214
pfhpoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,7,15,1,1,23,15,1,0,0,6,0,0,8,0,4,0,26,13,0,21,57,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13.374,0.29174,-0.00028895,0.00000013238,-2.2849E-11,0,155.32
chfo2,O=C(O)F,0,1,1,2,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.7681,0.043835,-0.0000397,0.0000000174,-2.95E-12,0,63.927
2_octene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,4,8,16,0,0,22,16,0,1,0,6,0,1,8,0,4,0,23,13,0,21,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.264,0.29254,-0.00028888,0.000000132,-2.26E-11,-771.62,162.83
pfprcof,O=C(F)C(F)(F)C(F)(F)F,1,3,6,1,0,8,6,0,1,1,2,0,0,3,0,0,0,8,1,0,4,15,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0146,0.1111,-0.00010808,0.00000004883,-8.3445E-12,0,95.561
o,[O],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9682,0,0,0,0,58.997,36.469
