Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K),Veri. SMILES,SMILES,Log Name,Log Path
C6HF12O3,,,,,,,,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[O]C([C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)O,frd_903_cof_OH,/qchem_data/log_to_pdb_in/frd_903_cof_OH.log
C4H2F6,,,,,,,,C=C(F)C(F)(F)C(F)(F)F,FC(=C)C(C(F)(F)F)(F)F,31_butene,/qchem_data/log_to_pdb_in/31_butene.log
C3HF6O,,,,,,,,F.O=C(F)[C](F)C(F)(F)F,FC(=O)[C](C(F)(F)F)F.F,hfp_1oh_2rad_scanhf,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scanhf.log
C5H2F8,,,,,,,,C=C(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(C(C(F)(F)F)(F)F)(F)F,41_pentene,/qchem_data/log_to_pdb_in/41_pentene.log
C4H5F5O,,,,,,,,OCCC(F)(F)C(F)(F)F,OCCC(C(F)(F)F)(F)F,22ftoh,/qchem_data/log_to_pdb_in/22ftoh.log
C7HF15O3S,,,,,,,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S([O])(O)[O])F,pfhps,/qchem_data/log_to_pdb_in/pfhps.log
C4H2F9NO2S,,,,,,,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(S(=O)(=O)N)(F)F)(F)F)(C(F)(F)F)F,fbsa,/qchem_data/log_to_pdb_in/fbsa.log
C7H3F11,,,,,,,,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,52_heptene,/qchem_data/log_to_pdb_in/52_heptene.log
C5F11,,,,,,,,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F.[F],F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F.[F],c5_sec_tert_rad_isots,/qchem_data/log_to_pdb_in/c5_sec_tert_rad_isots.log
C2F5O2,,,,,,,,[O]C(F)(F)OC(F)(F)F,[O]C(OC(F)(F)F)(F)F,cf3o_cf2o_prod,/qchem_data/log_to_pdb_in/cf3o_cf2o_prod.log
C12HF25,,,,,,,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,1H_dodecane,/qchem_data/log_to_pdb_in/1H_dodecane.log
C6H5F9,,,,,,,,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,42rh,/qchem_data/log_to_pdb_in/42rh.log
C8H2F17NO2S,,,,,,,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,fosa,/qchem_data/log_to_pdb_in/fosa.log
