SMILES,Log Names,Log Files
C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,1H_undecane,1H_undecane.log
C(F)(F)(S([O])([O])O)F,triflic,triflic.log
C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)C(F)(F)F)(F)F)(F)F,1H_nonane,1H_nonane.log
C(F)(F)(F)C(F)(F)C(F)(F)O[C@]1(C(=O)O1)C(F)(F)F.F,frd_903_0HFAts_prod,frd_903_0HFAts_prod.log
C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2_octyl,2_octyl.log
C(F)(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2_hexyl,2_hexyl.log
[C@]1(C(F)(F)OO1)(F)C(F)(F)F,c3f6o2_ring,c3f6o2_ring.log
S(CCC(C(F)(F)F)(F)F)([O])([O])O,22_fts,22_fts.log
C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)C(C(F)(F)F)(F)F)(F)F)(F)F,1H_decane,1H_decane.log
C(F)(F)([C](F)C(F)(F)O)F,hfp_1oh_2nd,hfp_1oh_2nd.log
C(F)(F)(C=C)C(C(C(F)(F)F)(F)F)(F)F,42_hexene,42_hexene.log
[C](F)C(F)(F)F,cf3cf_carbene,cf3cf_carbene.log
C(F)(F)(CCS(=O)(=O)N)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,52_ftsa,52_ftsa.log
C(F)(F)(C(F)(F)C(F)(F)S(=O)(=O)N)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,fosa,fosa.log
C(C(C(C(CC)(F)F)(F)F)(F)F)(F)(F)F,42rh,42rh.log
C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1H_dodecane,1H_dodecane.log
FC(F)([O])OC(F)(F)F,cf3o_cf2o_prod,cf3o_cf2o_prod.log
C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,1H_heptane,1H_heptane.log
C(F)(F)(C=C)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,52_heptene,52_heptene.log
C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)(F)F,fbsa,fbsa.log
C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,pfhps,pfhps.log
[C](=C(F)F)C(F)(F)F,propene_betaF_rad,propene_betaF_rad.log
C(C(C(F)(F)C(C(C(CCS(=O)(=O)NCCC[N](C)(C)CC(=O)[O])(F)F)(F)F)(F)F)(F)F)(F)(F)F,62ftab,62ftab.log
C(C(CCO)(F)F)(F)(F)F,22ftoh,22ftoh.log
C(F)(F)(C(=C)F)C(C(F)(F)F)(F)F,41_pentene,41_pentene.log
C(F)(F)(C(F)(F)O)F,pfeoh,pfeoh.log
C(F)(F)(C(=C)F)C(F)(F)F,31_butene,31_butene.log
C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)C(F)(F)F,pfpeoh,pfpeoh.log
C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,pfhpa,pfhpa.log
C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)O)(C(F)(F)F)F,frd_903,frd_903.log
C(F)(F)C(F)(F)F,1H_ethane,1H_ethane.log
C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(F)(F)F)(F)[C@@]([O])(F)O,frd_903_cof_OH,frd_903_cof_OH.log
C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)C(C(F)(F)F)(F)F,pfpes,pfpes.log
C(F)(F)(F)C(F)(F)C(=O)F,c2f5cof,c2f5cof.log
C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)F,2_hexene,2_hexene.log
C(=C(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,pentene,pentene.log
C(=O)(F)O,chfo2,chfo2.log
C(F)(F)(CCS([O])([O])O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,52_fts,52_fts.log
C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,c7_secondary_rad,c7_secondary_rad.log
C(F)(F)(F)C(F)(F)C(F)(F)OC(=O)C(F)(F)F,frd_903_0HFAts_prod_COlossprod,frd_903_0HFAts_prod_COlossprod.log
C(F)(F)(CCC(=O)O)C(C(F)(F)C(F)(F)F)(F)F,43_ftca,43_ftca.log
C(=[C]\F)(\F)/C(F)(F)F,propene_calpha_rad,propene_calpha_rad.log
C(F)(F)(F)C(F)(F)C(F)(F)C(=O)O,pfba,pfba.log
C(F)(F)(F)C(F)(F)C(F)(F)O[C@](C(F)(F)F)([O])O,ester_oh,ester_oh.log
C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_butane,1H_butane.log
C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,1H_octane,1H_octane.log
C(F)(F)(CCS(=O)(=O)N)C(C(F)(F)C(F)(F)F)(F)F,42_ftsa,42_ftsa.log
C(F)(F)([C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3_octyl,3_octyl.log
C(F)(F)(F)C(F)(F)C(F)(F)OC(=O)O,c3_oco2h,c3_oco2h.log
C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)(F)F,fprsa,fprsa.log
C(C(C(C(=O)F)(F)F)(F)F)(F)(F)F,pfbcof,pfbcof.log
C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2_octene,2_octene.log
C(F)(F)(CCC(=O)O)C(F)(F)F,23_ftca,23_ftca.log
C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,pfos,pfos.log
C(F)(F)(CCS(=O)(=O)N)C(C(F)(F)F)(F)F,32_ftsa,32_ftsa.log
C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(C(F)(F)F)(F)F)(F)F,pfocof,pfocof.log
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,hexane,hexane.log
C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)F,pfboh,pfboh.log
C(F)(F)(CCS([O])([O])O)C(C(F)(F)C(F)(F)F)(F)F,42_fts,42_fts.log
C(F)(F)(C(F)(F)S([O])([O])O)F,pfets,pfets.log
C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,heptene,heptene.log
C(F)(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,2_pentyl,2_pentyl.log
C(C(C(C(C(CC)(F)F)(F)F)(F)F)(F)F)(F)(F)F,52rh,52rh.log
C(C(C(C(S([O])([O])O)(F)F)(F)F)(F)F)(F)(F)F,pfbs,pfbs.log
