SMILES,Molecule,Veri. SMILES,Log Name,Log Path,Unnamed: 0,Log Mol. Objects
FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C7HF15,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,heptane1H,/qchem_data/log_to_pdb_in/heptane1H.log,0,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7d33300>
[O]C([C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)O,C6HF12O3,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903_cof_OH,/qchem_data/log_to_pdb_in/frd_903_cof_OH.log,1,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a920a0>
OC(F)(F)F,CHF3O,OC(F)(F)F,cf3oh,/qchem_data/log_to_pdb_in/cf3oh.log,2,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92180>
FC(C(F)(F)F)F,C2HF5,FC(F)C(F)(F)F,1H_ethane,/qchem_data/log_to_pdb_in/1H_ethane.log,3,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92030>
OC(=O)[C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,C6HF11O3,O=C(O)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903,/qchem_data/log_to_pdb_in/frd_903.log,4,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a921f0>
F[C](C(F)(F)F)F,C2F5,F[C](F)C(F)(F)F,c2_rad,/qchem_data/log_to_pdb_in/c2_rad.log,5,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a922d0>
F[C]([C@@](C(C(F)(F)F)(F)F)(F)O)F,C4HF8O,O[C@](F)([C](F)F)C(F)(F)C(F)(F)F,butene_2OH,/qchem_data/log_to_pdb_in/butene_2OH.log,6,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92340>
OC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C7HF13O2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhpa,/qchem_data/log_to_pdb_in/pfhpa.log,7,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a923b0>
FC(=C=C(F)F)F,C3F4,FC(F)=C=C(F)F,allene,/qchem_data/log_to_pdb_in/allene.log,8,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92420>
FC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C7F14O,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhpal,/qchem_data/log_to_pdb_in/pfhpal.log,9,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92490>
OC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C5HF11O,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfpeoh,/qchem_data/log_to_pdb_in/pfpeoh.log,10,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92500>
FC(=C)C(C(F)(F)F)(F)F,C4H2F6,C=C(F)C(F)(F)C(F)(F)F,31_butene,/qchem_data/log_to_pdb_in/31_butene.log,11,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91fc0>
FC(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)F,C5F12,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pentane,/qchem_data/log_to_pdb_in/pentane.log,12,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91f50>
OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C5HF9O2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1_pentane,/qchem_data/log_to_pdb_in/1_pentane.log,13,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91ee0>
F[C](C(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F,C5F11,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,c5_secondary_rad,/qchem_data/log_to_pdb_in/c5_secondary_rad.log,14,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91e70>
FC(=O)[C](C(F)(F)F)F.F,C3HF6O,F.O=C(F)[C](F)C(F)(F)F,hfp_1oh_2rad_scanhf,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scanhf.log,15,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92260>
F[C](C(C(F)(F)F)(F)F)F,C3F7,F[C](F)C(F)(F)C(F)(F)F,1_propyl,/qchem_data/log_to_pdb_in/1_propyl.log,16,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91d20>
OC=O,CH2O2,O=CO,cho2h,/qchem_data/log_to_pdb_in/cho2h.log,17,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91e00>
FC(=[C]C(F)(F)F)F,C3F5,FC(F)=[C]C(F)(F)F,cf3ccf2,/qchem_data/log_to_pdb_in/cf3ccf2.log,18,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91d90>
FC(C(F)(F)O)(F)F,C2HF5O,OC(F)(F)C(F)(F)F,pfeoh,/qchem_data/log_to_pdb_in/pfeoh.log,19,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91c40>
FC1(F)OC1(F)F,C2F4O,FC1(F)OC1(F)F,epoxide,/qchem_data/log_to_pdb_in/epoxide.log,20,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91bd0>
[CH3],CH3,[CH3],ch3,/qchem_data/log_to_pdb_in/ch3.log,21,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91b60>
