Abbreviation,Log_file,Veri. SMILES,a0,a1,a2,a3,a4,H_f_0K,S_300K 
O,o.log,[O],4.9682,0,0,0,0,58.997,36.469
F,f.log,[F],4.9682,0,0,0,0,18.47,36.176
HF,hf.log,F,7.0265,-0.00037026,0.000000286,3.51E-10,-1.43E-13,-65.18,41.525
O2,o2.log,O=O,6.4985,0.0010753,0.00000207,-0.00000000191,4.44E-13,0,48.998
CO2,co2.log,C(=O)=O,4.7791,0.016904,-0.0000132,0.00000000517,-8.06E-13,0,52.42
CF2,cf2.log,[C](F)F,4.717,0.02003,-0.0000184,0.00000000784,-1.27E-12,-46.34,57.490866
CFO,cfo.log,F[C]=O,6.2029,0.012742,-0.00000909,0.00000000307,-3.97E-13,-42.21,59.494
CF2O2,cf2o2_rad.log,[C](O[O])(F)F,5.1022,0.046575,-0.000045,0.0000000203,-3.48E-12,-41.1,69.181
OH,oh.log,[OH],7.075,-0.00071119,0.00000095,-2.55E-11,-7.49E-14,8.91,42.602
H2O,h2o.log,O,7.7961,-0.0003717,0.0000039,-0.00000000199,3.16E-13,-57.1,46.425211
CF2_OH,cf2oh.log,F[C](O)F,3.997,0.043748,-0.0000408,0.0000000181,-3.07E-12,-109.79,13.856
CF2_H2O,cf2_h2o_ts_react.log,[C](F)F.O,14.805,0.024927,-0.0000207,0.00000000906,-1.56E-12,-104.47,81.788
CF2H2O,cf2_h2o_ts_prod.log,C(F)(F)O,2.7417,0.048881,-0.0000395,0.0000000158,-2.47E-12,-159.19,65.583
CF2_2H2O,cf2_2h2o.log,[C](F)F.O.O,16.729,0.054232,-0.0000516,0.000000025,-4.63E-12,-167.11,97.532
CF22H2O,cf2_2h2o_prod.log,C(F)(F)O.O,14.805,0.024927,-0.0000207,0.00000000906,-1.56E-12,-238.46,81.788
CF4,cf4.log,C(F)(F)(F)F,2.1845,0.056239,-0.0000559,0.0000000255,-4.39E-12,-221.71,62.561
CF2O,cf2o.log,C(=O)(F)F,3.5356,0.033932,-0.0000307,0.0000000132,-2.16E-12,-144.2,61.794995
CF2O_H2O,cf2o_h2o.log,C(=O)(F)F.O,13.759,0.038391,-0.0000325,0.0000000141,-2.39E-12,-205.55,84.355874
CF2OH2O,cf2oh2.log,C(F)(F)(O)O,2.7915,0.070727,-0.0000684,0.0000000316,-5.52E-12,-217.61,70.838
CF2O_2H2O,cf2o_2h2oreact.log,C(=O)(F)F.O.O,16.608,0.066137,-0.0000625,0.0000000299,-5.47E-12,-275.55,97.532
CF2O2H2O,cf2o_2h2oprod.log,C(F)(F)(O)O.O,8.1811,0.088948,-0.0000859,0.0000000405,-7.26E-12,-295.56,88.046
CF3,cf3.log,F[C](F)F,3.5673,0.037178,-0.0000356,0.0000000157,-2.64E-12,-111.17,65.368433
CF3O,cf3o.log,C(F)(F)(F)[O],3.3106,0.054168,-0.0000543,0.000000025,-4.31E-12,-101.42,69.645
C2F4,c2f4.log,C(=C(F)F)(F)F,4.9648,0.061892,-0.000062,0.000000029,-5.13E-12,-160.29,73.976691
C2F4_OH,c2f4_oh.log,[C](F)(F)C(F)(F)O,5.5231,0.083345,-0.000081,0.0000000369,-6.35E-12,-210.36,24.195
C2F4O2,c2f4o2.log,[C](C(F)(F)O[O])(F)F,7.0756,0.085872,-0.0000846,0.0000000385,-6.59E-12,-145.69,88.684
C2F4O_epox,epoxide.log,C1(F)(F)C(F)(F)O1,2.7566,0.081434,-0.0000799,0.0000000363,-6.21E-12,-230.5,76.054
C3F6O_epox,c3f6o.log,[C@]1(C(F)(F)O1)(F)C(F)(F)F,4.2664,0.11981,-0.00011762,0.0000000533,-9.12E-12,-337.64,91.474
C3F6O2_dioxane,c3f6o2_ring.log,[C@]1(C(F)(F)OO1)(F)C(F)(F)F,4.2387,0.13347,-0.00013031,0.0000000587,-9.98E-12,0,95.386
C3F6O2_1st,c3f6o2_1st.log,[C](C(F)(F)O[O])(F)C(F)(F)F,8.4398,0.12567,-0.00012458,0.0000000569,-9.78E-12,0,106.04
C4F7O,c4f7_o.log,[C](F)(C(=O)F)C(C(F)(F)F)(F)F,8.9241,0.13439,-0.00013079,0.0000000591,-1.01E-11,-300.33,106.98
C2F3O,c2f3_o.log,[C](F)(F)C(=O)F,7.1063,0.052812,-0.0000491,0.0000000215,-3.61E-12,-146.25,76.899
CF3CFOH,cf3cfoh.log,[C](F)(C(F)(F)F)O,5.4323,0.083676,-0.0000814,0.0000000371,-6.4E-12,-231.88,83.107
CF2OH,cf2oh.log,F[C](O)F,4.0407,0.043616,-0.0000406,0.000000018,-3.05E-12,-109.79,67.02
C2F5,c2f5.log,C(F)(F)(F)[C](F)F,5.8156,0.073558,-0.0000711,0.0000000318,-5.36E-12,-213,81.437321
C3F7,c3f7.log,[C](F)(C(F)(C(F)(F)F)F)F,7.0521,0.11421,-0.00011277,5.1348,-8.8107E-12,-312.05,96.762
C4F9,c4_rad.log,C(F)(F)([C](F)F)C(C(F)(F)F)(F)F,8.816,0.15248,-0.00015088,0.0000000688,-1.18E-11,-409.98,114.89
C5F11,c5_rad.log,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)F)(F)F,12.509,0.1821,-0.00017635,0.0000000789,-1.33E-11,-507.44,124.440708
C6F13,c6_rad.log,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(F)(F)F)(F)F,14.833,0.21805,-0.00021118,0.0000000944,-1.59E-11,-605.04,138.77868
C7F15,1_octane_c7_rad.log,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,16.979,0.25448,-0.00024654,0.00000011,-1.86E-11,-702.8,152.659706
C8F17,1_octane_c8_rad.log,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,15.505,0.30662,-0.00030447,0.000000139,-2.4E-11,-800.34,166.66
C3F4,allene.log,C(=C=C(F)F)(F)F,6.1059,0.069647,-0.0000667,0.00000003,-5.12E-12,-119.08,81.873
C3F5,cf3ccf2.log,C([C]=C(F)F)(F)(F)F,10.973,0.071301,-0.0000668,0.0000000293,-4.92E-12,-160.82,90.468
butylallyl,butylallyl.log,C(=C(F)[C](C(F)(F)F)F)(F)F,9.4988,0.11984,-0.00011699,0.000000053,-9.07E-12,-274.97,106.35
PFOA,1_octane.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,14.415,0.31312,-0.00030747,0.00000014,2.41E-11,-824.72,165.64
C7F15OH,c7f15oh.log,C(F)(F)(C(F)(F)C(F)(F)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,13.438,0.29164,-0.0002889,0.000000132,-2.28E-11,-803.55,155.44
C6F13OH,c6f13oh.log,C(F)(F)(C(F)(F)C(F)(F)O)C(C(C(F)(F)F)(F)F)(F)F,11.677,0.2534,-0.00025085,0.000000115,-1.98E-11,-705.78,141.33
C5F11OH,c5f11oh.log,C(F)(F)(C(F)(F)C(F)(F)O)C(C(F)(F)F)(F)F,10.013,0.21486,-0.00021245,0.0000000973,-1.68E-11,-608.21,127.61
C4F9OH,c4f9oh.log,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)O,8.3241,0.17634,-0.00017406,0.0000000797,-1.38E-11,-510.19,113.68
C3F7OH,c3f7oh.log,C(F)(F)(C(F)(C(F)(F)O)F)F,6.8733,0.13708,-0.0001347,0.0000000616,-1.06E-11,-412.21,101.53
C2F5OH,c2f5oh.log,FC(F)(C(F)(F)O)F,4.7496,0.1002,-0.0000985,0.0000000452,-7.83E-12,-315.65,84.634
CF3OH,cf3oh.log,C(F)(F)(F)O,2.5913,0.063256,-0.0000619,0.0000000285,-4.94E-12,-211.99,69.302
