Molecule,a0,a1,a2,a3,a4,S(300K)
1H_butane,7.38406918946341,0.157711491532217,-0.0001492866132044,6.61496890342887E-08,-1.1137863004479E-11,108.498
1H_decane,17.9751994057561,0.387067228170413,-0.0003773739256687,1.70582479093685E-07,-2.91353760490387E-11,193.248
1H_dodecane,21.3730096048736,0.463956434964742,-0.0004539477422089,2.05684206954774E-07,-3.51902772919714E-11,220.307
1H_ethane,4.12196659788539,0.0803993491004098,-7.21442010221198E-05,3.07125644817559E-08,-5.01263246064514E-12,79.742
1H_heptane,12.7717202875133,0.27204429781969,-0.0002628789696262,1.18119222685819E-07,-2.00885601959087E-11,150.756
1H_hexane,10.9703760173843,0.233953913663549,-0.0002250337221582,1.00802233137526E-07,-1.71055585021946E-11,136.859
1H_methane,2.85239519879071,0.0402216063287437,-3.14532024703595E-05,1.17853934105501E-08,-1.70777744116774E-12,62.105
1H_nonane,16.0099686144947,0.349467552113992,-0.0003401188461112,1.53576987811976E-07,-2.62119495784613E-11,178.224
1H_octane,14.2421933246277,0.311296427174955,-0.0003021959959958,1.36226240771516E-07,-2.32235296758151E-11,164.189
1H_pentane,9.37201436880346,0.195179454686309,-0.000186344759304,8.30411368303745E-08,-1.40384369513565E-11,123.173
1H_propane,5.9302607495274,0.118456638622028,-0.0001099919163503,4.80603827262932E-08,-8.00685105341799E-12,95.577
1H_undecane,19.6781339629012,0.425406850645654,-0.0004154802568927,1.88023085646938E-07,-3.21400541798054E-11,206.63
1_butane,7.49356924423258,0.159781031859541,-0.0001548861538629,7.0161412042965E-08,-1.20301821579742E-11,110.036
1_octane_alpha_prod_prod_ene,13.3728613034138,0.251693621009419,-0.0002480392371653,1.12979779295529E-07,-1.94113129938758E-11,147.337
1_pentane,9.22547077827977,0.198120970091335,-0.0001930493686351,8.764861628686E-08,-1.50456970328987E-11,123.694
21_propene,2.34174653836424,0.0943197733050446,-8.65517897510371E-05,3.8156233993382E-08,-6.45026261599321E-12,80.046
22_butene,3.40799385337869,0.122989648759654,-0.0001091134657063,4.68368713908808E-08,-7.75625044272367E-12,90.774
22_fts,5.80724673731535,0.184796237820584,-0.0001631384914755,6.98340995325359E-08,-1.15401368499091E-11,116.653
22_ftsa,4.89818531769549,0.192447421048854,-0.0001676286841213,7.13580105527573E-08,-1.17680071086385E-11,117.547
22ftoh,5.32087054071986,0.1360153345303,-0.0001083903477121,4.25235576573405E-08,-6.53436773183183E-12,100.024
22rh,3.92029369523984,0.125566577431405,-9.80468064794751E-05,3.79324691520719E-08,-5.78197243541457E-12,92.757
23_ftca,3.83746675635455,0.166770900878152,-0.0001389346158866,5.66516855938858E-08,-9.00077490386827E-12,110.951
2_butene,7.16062090814206,0.140154359880309,-0.0001376437975562,6.2560016084407E-08,-1.07330032734218E-11,106.056
2_heptene,12.6664099450966,0.253804377220475,-0.0002502559078951,1.13979817297081E-07,-1.9576161643078E-11,149.607
2_hexene,10.8746969763354,0.215576651843612,-0.0002122031626382,9.65484071209202E-08,-1.65714927663683E-11,135.252
2_octene,14.2643442694037,0.292539406225727,-0.0002888833707958,1.31708166200972E-07,-2.26375010224935E-11,162.827
2_pentene,9.12096814702491,0.177415881735726,-0.0001743326209486,7.92377694172698E-08,-1.35920861014509E-11,119.983
31_butene,4.19234698011865,0.13201714327688,-0.0001238194563601,5.51521287555252E-08,-9.37140333722139E-12,95.363
32_fts,7.32390446336758,0.223774465966057,-0.000202038383001,8.76924606598533E-08,-1.46238273580196E-11,132.058
32_ftsa,6.52423472942065,0.231192513176198,-0.0002063003930886,8.91138440603E-08,-1.48345330661674E-11,132.862
32_pentene,5.09885219127788,0.161402569781818,-0.0001473223003759,6.43322914971436E-08,-1.0771169603071E-11,105.826
32ftoh,7.15415607722085,0.173639589765825,-0.0001453773355126,5.93170008224079E-08,-9.41194535487352E-12,118.367
32rh,5.75024724358818,0.163601097989793,-0.000135829012802,5.52101785698567E-08,-8.75592820166941E-12,108.8
33_ftca,5.65924123064633,0.204793799563049,-0.0001766753256552,7.3899374957146E-08,-1.19679733439393E-11,127.082
41_pentene,5.91501629235353,0.170345369983531,-0.0001619375159789,7.26064102130737E-08,-1.23797631047429E-11,110.395
42_fts,8.98795652742177,0.262300050020243,-0.0002404019126724,1.05276830458135E-07,-1.76568242225948E-11,145.438
42_ftsa,8.21929978642446,0.269508833127552,-0.0002443501454258,1.06517316064288E-07,-1.78314725570352E-11,146.033
42_hexene,6.86269944249342,0.199691414286846,-0.0001854346864862,8.17936821536166E-08,-1.37817948966306E-11,119.976
42ftoh,8.72308596468291,0.212477096808538,-0.0001841296603829,7.71081661596294E-08,-1.2484460297755E-11,128.552
42rh,7.31598211788852,0.202455070374313,-0.0001746044241648,7.30152829426237E-08,-1.18314595055122E-11,121.66
43_ftca,7.28491489448645,0.243487983461934,-0.0002152775399374,9.16201329554483E-08,-1.50283408678873E-11,140.153
51_hexene,7.68464151109761,0.208557896223028,-0.0001999209470716,8.99867860779827E-08,-1.53730915225477E-11,124.024
52_fts,10.6302828163734,0.300939973139734,-0.0002789387640839,1.22963403021291E-07,-2.07106621246381E-11,158.744
52_ftsa,9.82111970040936,0.308313508135929,-0.000283113059279,1.24331367908491E-07,-2.09106885585008E-11,159.276
52_heptene,8.74416186527076,0.237521344479502,-0.0002229454721359,9.89254416225221E-08,-1.67280162191436E-11,134.235
52ftoh,10.6127263312606,0.250270029452933,-0.0002215933249023,9.42162576125066E-08,-1.54265488915154E-11,143.165
52rh,9.10330329643015,0.240608898828047,-0.0002125301177524,9.03735438663528E-08,-1.48219394848452E-11,135.866
53_ftca,8.89658359765292,0.282280769938013,-0.000254021576925,1.09419994736874E-07,-1.81040866942662E-11,153.887
61_heptene,9.33230691077879,0.247248010658594,-0.0002385518764194,1.07730847848177E-07,-1.84385936911563E-11,137.792
62_fts,12.4215473285624,0.339139911751346,-0.0003169508814028,1.40374730643732E-07,-2.37120409315333E-11,173.151
62_ftsa,11.6393795012958,0.346480128518413,-0.0003211056286171,1.41736544183021E-07,-2.39112039914312E-11,173.914
62_octene,10.4162402308375,0.276039864728333,-0.000261317020771,1.16520630164559E-07,-1.97641016102226E-11,147.991
62ftab,7.12144242131571,0.528497131094404,-0.0004210595029842,1.65602006495406E-07,-2.55821385782624E-11,224.933
62ftoh,12.1459775604203,0.289301622094133,-0.000260629066756,1.12171084842242E-07,-1.85320692448342E-11,156.237
62rh,10.8214262901848,0.278997067304467,-0.0002507493212453,1.0788808045072E-07,-1.78423293185717E-11,149.636
71_octene,11.2213487455261,0.285052511715887,-0.0002760403449499,1.24856761559818E-07,-2.13848533711147E-11,152.357
butane1H,7.38331199990904,0.157600853466011,-0.0001490844071192,6.60274892219155E-08,-1.11133707069496E-11,108.467
butene,8.24500780305296,0.13652962317788,-0.0001334508168129,6.04940268543253E-08,-1.03636697457619E-11,104.397
butene_2OH,8.37873055029234,0.161979501572747,-0.0001597938655211,7.32154272363161E-08,-1.26497494287205E-11,112.352
butene_OH,8.95940229171455,0.160916123923071,-0.0001589482887988,7.28881703966294E-08,-1.25995338407412E-11,115.924
butylallyl,9.49906231274021,0.119842819998787,-0.0001169911210188,5.29715305365534E-08,-9.06685252713609E-12,106.349
c2f4,5.72383653271453,0.0581708732103092,-5.62412118482618E-05,2.5471621191362E-08,-4.37864242229018E-12,74.103
c2f4h2o_prod,4.07563311904787,0.0887524266718833,-7.97044591960511E-05,3.44032723899627E-08,-5.70306540409174E-12,80.946
c2f4o,5.19718938777494,0.0731912692169911,-7.05164756634325E-05,3.16736862473439E-08,-5.39301690573828E-12,79.898
c2f5,5.1268620746187,0.0761699409901251,-7.47298295437452E-05,3.38364233407712E-08,-5.77868924921224E-12,81.39
c2f5h,4.1296117761734,0.0802348105457056,-7.18649320894896E-05,3.05485298845789E-08,-4.98026834637977E-12,79.7
c2f6,4.47689235936366,0.0926861007736898,-9.18829742411302E-05,4.19637804326324E-08,-7.21714629989136E-12,79.456
c2h6,3.39129468020625,0.0298038732713638,3.7595254511511E-06,-1.04465437657107E-08,2.74769187380794E-12,54.42
c3f6,7.1379148763408,0.100508115268423,-9.95333913187378E-05,4.53916493474291E-08,-7.79517005910282E-12,91.805
c3f7oh,6.87357082888773,0.137077014815157,-0.0001347643591965,6.16335542302169E-08,-1.06348463484973E-11,101.529
c4f9oh,8.32452892166652,0.176338814508862,-0.0001740599203484,7.97193580244954E-08,-1.37645400150115E-11,113.675
c5_prim_sec_rad_isots,12.7711545891742,0.179030657611382,-0.0001769148764045,8.08534300012882E-08,-1.39373640811149E-11,125.816
c5_rad,10.3608138117599,0.191431690122022,-0.0001897908472676,8.66966756441822E-08,-1.49144062714141E-11,124.796
c5f11oh,10.0135737458018,0.214856493839855,-0.0002124538851029,9.73300109759662E-08,-1.68036293441984E-11,127.614
c6f13oh,11.6775763097142,0.253399623831511,-0.0002508541275867,1.14938681197869E-07,-1.98418648407518E-11,141.328
c7_secondary_rad,14.1185903914655,0.267260252045273,-0.0002651025492411,1.21133627070652E-07,-2.08417200729124E-11,157.129
cbutane_diradical,9.97574236209741,0.134123481379306,-0.0001313504308035,5.93942876200902E-08,-1.01337626284579E-11,107.897
cf2,5.39227883186917,0.0171116145856154,-1.41733626573061E-05,5.38342222898634E-09,-7.71196182634894E-13,58.933
cf2coho,6.65793239928185,0.0609254644007386,-5.53144596183828E-05,2.41835618394126E-08,-4.06128632620735E-12,78.453
cf2h,4.40674858376852,0.0238463553999011,-1.61613352595334E-05,5.09938775198631E-09,-5.94107594596211E-13,61.225
cfo,6.20511104348217,0.0127270307234274,-9.07654268305432E-06,3.05944213773982E-09,-3.96136108224745E-13,59.492
ch2F,5.94101473035165,0.0146022859255427,-6.34381253682235E-06,1.00743530412987E-09,1.49340839594417E-14,56.44
ch3,7.16318137819913,0.0071891247890276,8.91830489868177E-07,-1.64971792694566E-09,3.44324381909068E-13,47.906
co,7.19914995573709,-0.0022308009753655,5.64024088601304E-06,-3.4591729257553E-09,6.84525663769859E-13,47.228
epoxide,2.75681337438848,0.0814340663923909,-7.99364781811547E-05,3.62655088248335E-08,-6.20810303127084E-12,76.054
fbsa,11.2339767540292,0.221246767903771,-0.0002190578343242,1.01092786115521E-07,-1.75933832141251E-11,131.185
fetsa,7.80237616842876,0.144416535501712,-0.0001425113459242,6.59878345013528E-08,-1.15352353486265E-11,104.167
fhpsa,16.0368307682676,0.337430938316896,-0.0003348602390888,1.54208246285908E-07,-2.67596983770383E-11,172.271
fhxsa,14.3806928835267,0.298823531070686,-0.0002963570531413,1.3653788529014E-07,-2.37087586104001E-11,158.234
fosa,17.7579784593116,0.375784218648185,-0.0003730243723886,1.71690702728989E-07,-2.97736292463474E-11,185.925
fprsa,9.45826489299543,0.183056515210737,-0.0001810825642924,8.3705125814788E-08,-1.45966283505168E-11,117.125
frd_903,10.0961197915032,0.252446750068842,-0.0002467900961076,1.12104627241919E-07,-1.92351759662651E-11,143.633
heptane,13.0783715039847,0.284313631684161,-0.0002824079568595,1.29179816563377E-07,-2.22449209092115E-11,153.809
heptene,13.3728613034138,0.251693621009419,-0.0002480392371653,1.12979779295529E-07,-1.94113129938758E-11,147.337
hexane,11.3604178384701,0.245965834262878,-0.0002442577144578,1.11705570168246E-07,-1.92324154576116E-11,139.809
hexene,11.8021315555421,0.212823058669184,-0.0002092196014268,9.51424955349913E-08,-1.63283736144808E-11,134.199
n_octane_twisted,14.4131570490879,0.32398458457258,-0.0003222316965594,1.47554081982591E-07,-2.54308604038774E-11,166.526
nmefosaa,11.7431650827422,0.276132537974519,-0.0002575414774578,1.14081212480054E-07,-1.928699422746E-11,153.137
octene,15.1736401450486,0.289834958565711,-0.0002859653836939,1.3034203306204E-07,-2.24029847094752E-11,161.734
pentane,9.79293718757502,0.207031430471754,-0.0002053310861414,9.38045528955921E-08,-1.61366602507826E-11,126.598
pentene,10.0628610822003,0.174482009155639,-0.0001710543626192,7.76575444385285E-08,-1.33140457726987E-11,119.442
pfba,7.48978856322046,0.159791294761591,-0.0001548979581168,7.01676286429653E-08,-1.20313785159893E-11,110.045
pfbal,8.78695459539575,0.149265153805482,-0.0001460046874743,6.61854179449395E-08,-1.13345096955336E-11,109.973
pfbcof,8.78769092818602,0.149268459338973,-0.0001460142426034,6.61925835929024E-08,-1.13361606834727E-11,109.982
pfboh,8.27299756791735,0.176399177353653,-0.0001740666667296,7.97127378090893E-08,-1.37633036169968E-11,113.586
pfbs,11.1754516139221,0.215190539573657,-0.0002154171878263,9.96728271854215E-08,-1.73438685082805E-11,129.892
pfeoh,4.6899304247481,0.100286717973968,-9.85796905037158E-05,4.5230831366243E-08,-7.83242105611053E-12,84.568
pfets,7.86228570679831,0.137698272220388,-0.0001379024102106,6.40232369880016E-08,-1.11796065790693E-11,101.57
pfhpa,12.7050889810553,0.274732172322735,-0.0002692684761412,1.22557791710661E-07,-2.10632610319777E-11,151.734
pfhpcof,14.0761951496188,0.263946723094782,-0.0002600411704231,1.18393170725594E-07,-2.03307614249483E-11,151.871
pfhpoh,13.3743865181141,0.291742343800281,-0.0002889508833926,1.32381715618726E-07,-2.28495058934453E-11,155.321
