Molecule,a0,a1,a2,a3,a4,S
1H_butane,7.38406918946341,0.1577114915322165,-0.0001492866132044,6.614968903428869e-08,-1.113786300447903e-11,108.498
1H_decane,17.975199405756136,0.3870672281704129,-0.0003773739256687,1.705824790936845e-07,-2.913537604903865e-11,193.248
1H_dodecane,21.373009604873552,0.4639564349647418,-0.0004539477422089,2.0568420695477385e-07,-3.519027729197137e-11,220.307
1H_ethane,4.121966597885391,0.0803993491004098,-7.214420102211981e-05,3.071256448175594e-08,-5.012632460645144e-12,79.742
1H_heptane,12.77172028751328,0.2720442978196902,-0.0002628789696262,1.181192226858188e-07,-2.0088560195908688e-11,150.756
1H_hexane,10.97037601738434,0.2339539136635489,-0.0002250337221582,1.0080223313752648e-07,-1.7105558502194628e-11,136.859
1H_methane,2.85239519879071,0.0402216063287437,-3.145320247035954e-05,1.1785393410550138e-08,-1.7077774411677386e-12,62.105
1H_nonane,16.009968614494742,0.349467552113992,-0.0003401188461112,1.535769878119755e-07,-2.621194957846128e-11,178.224
1H_octane,14.242193324627676,0.3112964271749545,-0.0003021959959958,1.3622624077151585e-07,-2.3223529675815087e-11,164.189
1H_pentane,9.372014368803455,0.1951794546863088,-0.000186344759304,8.304113683037453e-08,-1.4038436951356495e-11,123.173
1H_propane,5.930260749527399,0.1184566386220276,-0.0001099919163503,4.80603827262932e-08,-8.006851053417991e-12,95.577
1H_undecane,19.678133962901207,0.4254068506456538,-0.0004154802568927,1.880230856469384e-07,-3.21400541798054e-11,206.63
1_butane,7.493569244232579,0.1597810318595407,-0.0001548861538629,7.016141204296503e-08,-1.203018215797418e-11,110.036
1_octane_alpha_prod_prod_ene,13.3728613034138,0.2516936210094194,-0.0002480392371653,1.1297977929552949e-07,-1.9411312993875822e-11,147.337
1_pentane,9.225470778279773,0.1981209700913346,-0.0001930493686351,8.764861628685995e-08,-1.5045697032898698e-11,123.694
21_propene,2.3417465383642364,0.0943197733050446,-8.655178975103705e-05,3.8156233993381976e-08,-6.450262615993208e-12,80.046
22_butene,3.4079938533786893,0.1229896487596541,-0.0001091134657063,4.683687139088078e-08,-7.756250442723668e-12,90.774
22_fts,5.807246737315348,0.1847962378205838,-0.0001631384914755,6.983409953253589e-08,-1.1540136849909149e-11,116.653
22_ftsa,4.898185317695491,0.1924474210488535,-0.0001676286841213,7.135801055275732e-08,-1.1768007108638523e-11,117.547
22ftoh,5.320870540719863,0.1360153345302996,-0.0001083903477121,4.252355765734053e-08,-6.534367731831827e-12,100.024
22rh,3.920293695239843,0.1255665774314053,-9.804680647947508e-05,3.793246915207192e-08,-5.7819724354145695e-12,92.757
23_ftca,3.837466756354551,0.1667709008781516,-0.0001389346158866,5.6651685593885794e-08,-9.000774903868269e-12,110.951
2_butene,7.160620908142063,0.1401543598803089,-0.0001376437975562,6.256001608440697e-08,-1.0733003273421848e-11,106.056
2_heptene,12.66640994509657,0.2538043772204745,-0.0002502559078951,1.1397981729708073e-07,-1.9576161643078002e-11,149.607
2_hexene,10.874696976335407,0.2155766518436122,-0.0002122031626382,9.65484071209202e-08,-1.6571492766368258e-11,135.252
2_octene,14.264344269403669,0.2925394062257269,-0.0002888833707958,1.3170816620097246e-07,-2.263750102249345e-11,162.827
2_pentene,9.12096814702491,0.177415881735726,-0.0001743326209486,7.92377694172698e-08,-1.3592086101450864e-11,119.983
31_butene,4.192346980118647,0.1320171432768797,-0.0001238194563601,5.515212875552522e-08,-9.371403337221392e-12,95.363
32_fts,7.323904463367576,0.2237744659660565,-0.000202038383001,8.76924606598533e-08,-1.462382735801964e-11,132.058
32_ftsa,6.524234729420646,0.2311925131761979,-0.0002063003930886,8.91138440603e-08,-1.4834533066167426e-11,132.862
32_pentene,5.098852191277878,0.161402569781818,-0.0001473223003759,6.433229149714364e-08,-1.0771169603070987e-11,105.826
32ftoh,7.154156077220845,0.1736395897658248,-0.0001453773355126,5.931700082240792e-08,-9.411945354873523e-12,118.367
32rh,5.750247243588184,0.1636010979897926,-0.000135829012802,5.521017856985668e-08,-8.755928201669411e-12,108.8
