C,F,sp3 Total Bond Count,sp3 Bond Pair ID  Total Pair Count,sp2 Total Bond Count,sp2 Bond Pair ID  Total Pair Count,sp Total Bond Count,Aromatic Total Bond Count,Unk Total Bond Count,F-C-C-F,F-C-C-C,C-C-C-F,C-C-C-C,Number of Rot. Bonds,SMILES,H,H-C-C-F,H-C-C-C,C-C-C-H,F-C-C-H,O,C-C-C-O,H-C-C-O,H-C-C-H,C-C-O-H,H-C-O-H,O-C-O-H,F-C-C-O,F-C-O-H
4,7,9,3,1,3,0,0,0,4,1,4,1,2,F[C](C(F)=C(F)F)C(F)(F)F,,,,,,,,,,,,,,
4,9,13,3,0,,0,0,0,14,4,5,1,3,FC(F)C(F)(F)C(F)(F)C(F)(F)F,1,2,1,,,,,,,,,,,
10,21,31,3,0,,0,0,0,38,14,19,7,9,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,1,2,,,,,,,,,
12,25,37,3,0,,0,0,0,46,18,23,9,11,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,1,2,,,,,,,,,
6,13,19,3,0,,0,0,0,22,9,8,3,5,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,1,2,,,,,,,,,
5,11,16,3,0,,0,0,0,18,7,6,2,4,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,1,2,,,,,,,,,
3,7,10,3,0,,0,0,0,10,3,2,,2,FC(F)C(F)(F)C(F)(F)F,1,,,1,2,,,,,,,,,
11,23,34,3,0,,0,0,0,42,16,21,8,10,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,1,2,,,,,,,,,
4,5,14,3,0,,0,0,0,6,5,,1,4,OCCC(F)(F)C(F)(F)F,5,,,4,4,1,1,2,4,1,2,,,
4,5,13,3,0,,0,0,0,6,5,,1,3,CCC(F)(F)C(F)(F)F,5,,,5,4,,,,6,,,,,
5,5,15,3,1,3,0,0,0,6,2,3,2,5,O=C(O)CCC(F)(F)C(F)(F)F,5,,2,4,4,2,2,4,4,1,,1,,
4,6,10,3,1,3,0,0,0,8,2,4,1,2,C=C(F)C(F)(F)C(F)(F)F,2,,,,,,,,,,,,,
5,7,13,3,1,3,0,0,0,10,4,5,2,3,C=CC(F)(F)C(F)(F)C(F)(F)F,3,,,1,2,,,,,,,,,
5,7,17,3,0,,0,0,0,10,4,5,2,5,OCCC(F)(F)C(F)(F)C(F)(F)F,5,,,4,4,1,1,2,4,1,2,,,
5,7,16,3,0,,0,0,0,10,7,2,2,4,CCC(F)(F)C(F)(F)C(F)(F)F,5,,,5,4,,,,6,,,,,
6,7,18,3,1,3,0,0,0,10,4,5,3,6,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,5,,2,4,4,2,2,4,4,1,,1,,
6,9,20,3,0,,0,0,0,14,6,7,3,6,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,,,4,4,1,1,2,4,1,2,,,
6,9,19,3,0,,0,0,0,14,9,4,3,5,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,,,5,4,,,,6,,,,,
7,9,21,3,1,3,0,0,0,14,6,7,4,7,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,,2,4,4,2,2,4,4,1,,1,,
6,10,16,3,1,3,0,0,0,16,6,8,3,4,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,,,,,,,,,,,,,
7,11,19,3,1,3,0,0,0,18,8,9,4,5,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,,,1,2,,,,,,,,,
7,11,22,3,0,,0,0,0,18,11,6,4,6,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,,,5,4,,,,6,,,,,
8,11,24,3,1,3,0,0,0,18,8,9,5,8,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,,2,4,4,2,2,4,4,1,,1,,
7,12,19,3,1,3,0,0,0,20,8,10,4,5,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,,,,,,,,,,,,,
8,13,22,3,1,3,0,0,0,22,10,11,5,6,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,,,1,2,,,,,,,,,
8,13,26,3,0,,0,0,0,22,10,11,5,8,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,,,4,4,1,1,2,4,1,2,,,
8,13,25,3,0,,0,0,0,22,13,8,5,7,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,,,5,4,,,,6,,,,,
8,14,22,3,1,3,0,0,0,24,10,12,5,6,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,,,,,,,,,,,,,
4,8,11,3,1,3,0,0,0,12,5,3,1,3,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,1,1,,,,,,2,
4,9,14,3,0,,0,0,0,14,5,4,1,4,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,1,1,,,1,,,2,2
2,5,8,3,0,,0,0,0,6,,,,2,OC(F)(F)C(F)(F)F,1,,,,,1,,,,1,,,3,2
7,13,21,3,1,3,0,0,0,22,8,11,4,7,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,2,2,,,1,,1,4,
7,15,23,3,0,,0,0,0,26,8,13,4,7,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,1,1,,,1,,,2,2
6,11,18,3,1,3,0,0,0,18,6,9,3,6,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,2,2,,,1,,1,4,
6,12,17,3,1,3,0,0,0,20,6,10,3,5,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,1,1,,,,,,2,
6,13,20,3,0,,0,0,0,22,6,11,3,6,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,1,1,,,1,,,2,2
8,15,24,3,1,3,0,0,0,26,10,13,5,8,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,2,2,,,1,,1,4,
7,14,20,3,1,3,0,0,0,24,8,12,4,6,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,1,1,,,,,,2,
8,17,26,3,0,,0,0,0,30,10,15,5,8,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,1,1,,,1,,,2,2
5,11,17,3,0,,0,0,0,18,4,9,2,5,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,1,1,,,1,,,2,2
5,10,14,3,1,3,0,0,0,16,4,8,2,4,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,1,1,,,,,,2,
3,5,9,3,1,3,0,0,0,6,3,,,3,O=C(O)C(F)(F)C(F)(F)F,1,,,,,2,2,,,1,,1,4,
3,6,8,3,1,3,0,0,0,8,3,1,,2,O=C(F)C(F)(F)C(F)(F)F,,,,,,1,1,,,,,,2,
