S,C,O,H,F,sp3 Total Bond Count,sp3 Bond Pair ID  Total Pair Count,sp2 Total Bond Count,sp Total Bond Count,Aromatic Total Bond Count,Unk Total Bond Count,O-S-C-C,O-S-C-H,C-S-O-H,O-S-O-H,S-C-C-C,S-C-C-H,H-C-C-C,H-C-C-H,C-C-C-C,C-C-C-F,H-C-C-F,F-C-C-F,Number of Rot. Bonds,SMILES,N,sp2 Bond Pair ID  Total Pair Count,F-C-C-C,C-C-C-H,F-C-C-H,C-C-C-S,H-C-C-S,C-C-S-O,C-C-S-N,H-C-S-O,H-C-S-N,C-S-N-H,O-S-N-H,F-C-C-S,F-C-S-O,F-C-S-N,C-S-N-C,O-S-N-C,S-N-C-H,S-N-C-C,H-N-C-H,H-N-C-C,N-C-C-O,H-C-C-O,C-C-O-H,O-C-O-H
1,4,3,5,5,17,3,0,0,0,0,3,6,1,2,1,2,4,4,1,5,4,6,5,O=S(=O)(O)CCC(F)(F)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,5,16,3,2,0,0,0,,,,,,,,4,1,,,6,5,NS(=O)(=O)CCC(F)(F)C(F)(F)F,1,3,5,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,
1,5,3,5,7,20,3,0,0,0,0,,,1,2,,,,4,2,5,,10,6,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,,,4,4,4,1,2,3,,6,,,,,,,,,,,,,,,,
1,5,2,6,7,19,3,2,0,0,0,,,,,,,,4,2,5,,10,6,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,1,3,4,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,
1,6,3,5,9,23,3,0,0,0,0,,,1,2,,,,4,3,7,,14,7,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,6,4,4,1,2,3,,6,,,,,,,,,,,,,,,,
1,6,2,6,9,22,3,2,0,0,0,,,,,,,,4,3,7,,14,7,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,6,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,
1,8,3,5,13,29,3,0,0,0,0,,,1,2,,,,4,5,11,,22,9,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,10,4,4,1,2,3,,6,,,,,,,,,,,,,,,,
1,8,2,6,13,28,3,2,0,0,0,,,,,,,,4,5,11,,22,9,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,10,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,
1,4,2,2,9,16,3,2,0,0,0,,,,,,,,,1,4,,14,5,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,5,,,1,,2,1,,,2,4,2,4,2,,,,,,,,,,
1,2,2,2,5,10,3,2,0,0,0,,,,,,,,,,,,6,3,NS(=O)(=O)C(F)(F)C(F)(F)F,1,3,,,,,,2,1,,,2,4,3,4,2,,,,,,,,,,
1,7,2,2,15,25,3,2,0,0,0,,,,,,,,,4,13,,26,8,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,8,,,1,,2,1,,,2,4,2,4,2,,,,,,,,,,
1,6,4,4,9,21,3,3,0,0,0,,,,,,,,,1,4,,14,8,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,5,,,1,,2,1,,,1,2,2,4,2,1,2,2,1,2,1,2,4,1,1
1,4,3,1,9,17,3,0,0,0,0,,,1,2,,,,,1,4,,14,5,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,5,,,1,,3,,,,,,2,6,,,,,,,,,,,
1,2,3,1,5,11,3,0,0,0,0,,,1,2,,,,,,,,6,3,O=S(=O)(O)C(F)(F)C(F)(F)F,,,,,,,,3,,,,,,3,6,,,,,,,,,,,
1,7,3,1,15,26,3,0,0,0,0,,,1,2,,,,,4,13,,26,8,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,8,,,1,,3,,,,,,2,6,,,,,,,,,,,
1,6,3,1,13,23,3,0,0,0,0,,,1,2,,,,,3,11,,22,7,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,6,,,1,,3,,,,,,2,6,,,,,,,,,,,
1,5,3,1,11,20,3,0,0,0,0,,,1,2,,,,,2,9,,18,6,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,4,,,1,,3,,,,,,2,6,,,,,,,,,,,
1,3,3,1,7,14,3,0,0,0,0,,,1,2,,,,,,2,,10,4,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,,,3,,,1,,3,,,,,,2,6,,,,,,,,,,,
1,1,2,2,3,7,3,2,0,0,0,,,,,,,,,,,,,2,NS(=O)(=O)C(F)(F)F,1,3,,,,,,,,,,2,4,,6,3,,,,,,,,,,
1,1,3,1,3,8,3,0,0,0,0,,,1,2,,,,,,,,,2,O=S(=O)(O)C(F)(F)F,,,,,,,,,,,,,,,9,,,,,,,,,,,
