SMILES,Log Name
FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,heptane1H
[O]C([C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)O,frd_903_cof_OH
OC(F)(F)F,cf3oh
FC(C(F)(F)F)F,1H_ethane
OC(=O)[C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,frd_903
F[C](C(F)(F)F)F,c2_rad
F[C]([C@@](C(C(F)(F)F)(F)F)(F)O)F,butene_2OH
OC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,pfhpa
FC(=C=C(F)F)F,allene
FC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,pfhpal
OC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,pfpeoh
FC(=C)C(C(F)(F)F)(F)F,31_butene
FC(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)F,pentane
OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1_pentane
F[C](C(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F,c5_secondary_rad
FC(=O)[C](C(F)(F)F)F.F,hfp_1oh_2rad_scanhf
F[C](C(C(F)(F)F)(F)F)F,1_propyl
OC=O,cho2h
FC(=[C]C(F)(F)F)F,cf3ccf2
FC(C(F)(F)O)(F)F,pfeoh
FC1(F)OC1(F)F,epoxide
[CH3],ch3
FC(=C)C(C(C(F)(F)F)(F)F)(F)F,41_pentene
[O]OC([C](F)F)(F)F,c2f4o2
OCCC(C(F)(F)F)(F)F,22ftoh
F[CH]F,cf2h
FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S([O])(O)[O])F,pfhps
O=C1OC1(F)F,lactone
FC(C(C(S(=O)(=O)N)(F)F)(F)F)(C(F)(F)F)F,fbsa
C=CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,52_heptene
F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F.[F],c5_sec_tert_rad_isots
[O]C(OC(F)(F)F)(F)F,cf3o_cf2o_prod
OC(F)(F)O.O,cf2o_2h2oprod
FC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,1H_dodecane
CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,42rh
FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,fosa
