Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,a0,a1,a2,a3,a4,H_f_0K,S(300K)
cf3oh,CHF3O,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,3.0,1.0,1.0,OC(F)(F)F,0,2.5913,0.063256,-6.1923e-05,2.8452e-08,-4.9353e-12,-211.99,69.302
1H_ethane,C2HF5,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,1.0,0.0,FC(F)C(F)(F)F,0,4.1218,0.080399,-7.2144e-05,3.0713e-08,-5.0126e-12,0.0,79.742
c2_rad,C2F5,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,0.0,F[C](F)C(F)(F)F,0,5.8156,0.073558,-7.1129e-05,3.1771e-08,-5.3613e-12,-213.0,81.437321
allene,C3F4,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,FC(F)=C=C(F)F,0,6.1059,0.069647,-6.6678e-05,2.9971e-08,-5.1212e-12,-119.08,81.873
cho2h,CH2O2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,O=CO,0,3.6706,0.02813,-1.5848e-05,4.0187e-09,-3.2562e-13,-88.67,59.346
cf3ccf2,C3F5,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,0.0,FC(F)=[C]C(F)(F)F,0,10.973,0.071301,-6.6791e-05,2.9348e-08,-4.9154e-12,-160.82,90.468
epoxide,C2F4O,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,4.0,0.0,1.0,FC1(F)OC1(F)F,0,2.7566,0.081434,-7.9936e-05,3.6265e-08,-6.2081e-12,-230.5,76.054
ch3,CH3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,[CH3],0,7.1829,0.0071344,9.563e-07,-1.683e-09,3.5055e-13,35.82,50.1
cf2h,CHF2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,F[CH]F,0,4.4063,0.023832,-1.6126e-05,5.074e-09,-5.884e-13,-180.46,61.224
lactone,C2F2O2,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,O=C1OC1(F)F,0,3.2354,0.064148,-6.2205e-05,2.8178e-08,-4.8375e-12,-139.22,71.645
