Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-O Torsions,C-C-O-C Torsions,C-C-O-H Torsions,C-C-O-O Torsions,C-O-C-C Torsions,C-O-C-F Torsions,C-O-C-H Torsions,C-O-C-O Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-O Torsions,F-C-O-C Torsions,F-C-O-H Torsions,F-C-O-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-O-C Torsions,H-C-O-H Torsions,H-O-C-C Torsions,H-O-C-F Torsions,H-O-C-O Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-H Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-C-O-H Torsions,a0,a1,a2,a3,a4,H_f_0K,S(300K)
heptane1H,C7HF15,0.0,0.0,0.0,6.0,15.0,1.0,0.0,0.0,0.0,0.0,22,7,15.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.771,0.27204,-0.00026288,1.1812e-07,-2.0089e-11,-751.79,150.76
frd_903_cof_OH,C6HF12O3,0.0,0.0,0.0,4.0,12.0,0.0,4.0,0.0,1.0,0.0,21,6,12.0,1.0,3.0,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,7,0.0,6.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,14.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,,,,,,,
frd_903,C6HF11O3,0.0,1.0,1.0,4.0,11.0,0.0,3.0,0.0,1.0,0.0,19,6,11.0,1.0,3.0,O=C(O)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,7,0.0,5.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,13.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,10.06,0.25241,-0.00024666,1.1202e-07,-1.9219e-11,0.0,143.52
butene_2OH,C4HF8O,0.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,0.0,13,4,8.0,1.0,1.0,O[C@](F)([C](F)F)C(F)(F)C(F)(F)F,4,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3784,0.16198,-0.00015979,7.3215e-08,-1.265e-11,-414.97,44.591
pfhpa,C7HF13O2,0.0,1.0,1.0,6.0,13.0,0.0,1.0,0.0,1.0,0.0,21,7,13.0,1.0,2.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,4.0,11.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.704,0.27473,-0.00026927,1.2256e-07,-2.1063e-11,0.0,151.73
pfhpal,C7F14O,0.0,1.0,1.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,20,7,14.0,0.0,1.0,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.026,0.26416,-0.00026033,1.1856e-07,-2.0363e-11,-723.56,151.43
pfpeoh,C5HF11O,0.0,0.0,0.0,4.0,11.0,0.0,1.0,0.0,1.0,0.0,17,5,11.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,2.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.013,0.21486,-0.00021245,9.733e-08,-1.6804e-11,-608.21,127.61
31_butene,C4H2F6,1.0,0.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,10,4,6.0,2.0,0.0,C=C(F)C(F)(F)C(F)(F)F,2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1921,0.13202,-0.00012382,5.5152e-08,-9.3714e-12,0.0,95.365
pentane,C5F12,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,16,5,12.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7925,0.20703,-0.00020533,9.3804e-08,-1.6137e-11,-615.05,126.598051
1_pentane,C5HF9O2,0.0,1.0,1.0,4.0,9.0,0.0,1.0,0.0,1.0,0.0,15,5,9.0,1.0,2.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,2.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.2229,0.19813,-0.00019306,8.7656e-08,-1.5047e-11,-529.33,123.69
