Molecule,IUPAC,sp2 Pair Count C-O,sp2 Pair Count O-S,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-N,sp3 Pair Count C-O,sp3 Pair Count C-S,sp3 Pair Count H-N,sp3 Pair Count H-O,sp3 Pair Count N-S,sp3 Pair Count O-S,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms N,Num. Atoms O,Num. Atoms S,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-S Torsions,C-C-O-H Torsions,C-C-S-N Torsions,C-C-S-O Torsions,C-S-N-C Torsions,C-S-N-H Torsions,C-S-O-H Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-S Torsions,F-C-S-N Torsions,F-C-S-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-C-S Torsions,H-C-S-N Torsions,H-C-S-O Torsions,H-N-C-C Torsions,H-N-C-H Torsions,N-C-C-O Torsions,O-C-O-H Torsions,O-S-C-C Torsions,O-S-C-H Torsions,O-S-N-C Torsions,O-S-N-H Torsions,O-S-O-H Torsions,S-C-C-C Torsions,S-C-C-H Torsions,S-N-C-C Torsions,S-N-C-H Torsions,a0,a1,a2,a3,a4,H_f_0K,S(300K)
pfhps,C7HF15O3S,0.0,0.0,0.0,6.0,15,0.0,0.0,0.0,1,0.0,1.0,0.0,3.0,26,7,15,1,0.0,3,1,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,4.0,13.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,26.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.251,0.33039,-0.00033001,1.5216e-07,-2.6394e-11,0.0,172.06
fbsa,C4H2F9NO2S,0.0,2.0,2.0,3.0,9,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,16,4,9,2,1.0,2,1,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,1.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,14.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.233,0.22125,-0.00021906,1.0109e-07,-1.7593e-11,0.0,131.19
fosa,C8H2F17NO2S,0.0,2.0,2.0,7.0,17,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,28,8,17,2,1.0,2,1,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9,5.0,15.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,10.0,30.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
52_ftsa,C7H6F11NO2S,0.0,2.0,2.0,6.0,11,4.0,0.0,0.0,1,2.0,0.0,1.0,0.0,25,7,11,6,1.0,2,1,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,4.0,9.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,8.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
22_fts,C4H5F5O3S,0.0,0.0,0.0,3.0,5,4.0,0.0,0.0,1,0.0,1.0,0.0,3.0,17,4,5,5,0.0,3,1,O=S(=O)(O)CCC(F)(F)C(F)(F)F,5,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,5.8068,0.1848,-0.00016314,6.9834e-08,-1.154e-11,0.0,116.65
triflic,CHF3O3S,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,1.0,0.0,3.0,8,1,3,1,0.0,3,1,O=S(=O)(O)C(F)(F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0954,0.099749,-0.00010039,4.6934e-08,-8.2463e-12,0.0,87.011
pfprs,C3HF7O3S,0.0,0.0,0.0,2.0,7,0.0,0.0,0.0,1,0.0,1.0,0.0,3.0,14,3,7,1,0.0,3,1,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,4,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,10.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.5353,0.17634,-0.0001765,8.1762e-08,-1.4246e-11,0.0,116.92
pfets,C2HF5O3S,0.0,0.0,0.0,1.0,5,0.0,0.0,0.0,1,0.0,1.0,0.0,3.0,11,2,5,1,0.0,3,1,O=S(=O)(O)C(F)(F)C(F)(F)F,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,101.57
42_fts,C6H5F9O3S,0.0,0.0,0.0,5.0,9,4.0,0.0,0.0,1,0.0,1.0,0.0,3.0,23,6,9,5,0.0,3,1,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,3.0,7.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.9874,0.2623,-0.0002404,1.0528e-07,-1.7657e-11,0.0,145.44
32_ftsa,C5H6F7NO2S,0.0,2.0,2.0,4.0,7,4.0,0.0,0.0,1,2.0,0.0,1.0,0.0,19,5,7,6,1.0,2,1,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,6,2.0,5.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.5237,0.23119,-0.0002063,8.9114e-08,-1.4835e-11,0.0,132.86
