Molecule,SMILES,S Count,C Count,O Count,H Count,F Count,Total sp3 Count,sp3 C-S Count,sp3 O-S Count,sp3 C-C Count,sp3 C-H Count,sp3 H-O Count,sp3 C-F Count,Torsions O-S-C-C,Torsions O-S-C-H,Torsions C-S-O-H,Torsions O-S-O-H,Torsions S-C-C-C,Torsions S-C-C-H,Torsions H-C-C-C,Torsions H-C-C-H,Torsions C-C-C-C,Torsions C-C-C-F,Torsions H-C-C-F,Torsions F-C-C-F,Rotatable Bonds Count,N Count,sp3 N-S Count,sp3 H-N Count,Total sp2 Count,sp2 O-S Count,Torsions F-C-C-C,Torsions C-C-C-H,Torsions F-C-C-H,Torsions C-C-C-S,Torsions H-C-C-S,Torsions C-C-S-O,Torsions C-C-S-N,Torsions H-C-S-O,Torsions H-C-S-N,Torsions C-S-N-H,Torsions O-S-N-H,Torsions F-C-C-S,Torsions F-C-S-O,Torsions F-C-S-N,sp3 C-N Count,sp3 C-O Count,sp2 C-O Count,Torsions C-S-N-C,Torsions O-S-N-C,Torsions S-N-C-H,Torsions S-N-C-C,Torsions H-N-C-H,Torsions H-N-C-C,Torsions N-C-C-O,Torsions H-C-C-O,Torsions C-C-O-H,Torsions O-C-O-H
22_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)F,1,4,3,5,5,17,1,3,3,4,1,5,3,6,1,2,1,2,4,4,1,5,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)F,1,4,2,6,5,16,1,,3,4,,5,,,,,,,,4,1,,,6,5,1,1,2,2,2,5,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,,,,
32_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,1,5,3,5,7,20,1,3,4,4,1,7,,,1,2,,,,4,2,5,,10,6,,,,,,4,4,4,1,2,3,,6,,,,,,,,,,,,,,,,,,,
32_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,1,5,2,6,7,19,1,,4,4,,7,,,,,,,,4,2,5,,10,6,1,1,2,2,2,4,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,,,,
42_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,3,5,9,23,1,3,5,4,1,9,,,1,2,,,,4,3,7,,14,7,,,,,,6,4,4,1,2,3,,6,,,,,,,,,,,,,,,,,,,
42_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,2,6,9,22,1,,5,4,,9,,,,,,,,4,3,7,,14,7,1,1,2,2,2,6,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,,,,
62_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,8,3,5,13,29,1,3,7,4,1,13,,,1,2,,,,4,5,11,,22,9,,,,,,10,4,4,1,2,3,,6,,,,,,,,,,,,,,,,,,,
62_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,8,2,6,13,28,1,,7,4,,13,,,,,,,,4,5,11,,22,9,1,1,2,2,2,10,4,4,1,2,2,1,4,2,2,4,,,,,,,,,,,,,,,,
fbsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,4,2,2,9,16,1,,3,,,9,,,,,,,,,1,4,,14,5,1,1,2,2,2,5,,,1,,2,1,,,2,4,2,4,2,,,,,,,,,,,,,
fetsa,NS(=O)(=O)C(F)(F)C(F)(F)F,1,2,2,2,5,10,1,,1,,,5,,,,,,,,,,,,6,3,1,1,2,2,2,,,,,,2,1,,,2,4,3,4,2,,,,,,,,,,,,,
fhpsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,7,2,2,15,25,1,,6,,,15,,,,,,,,,4,13,,26,8,1,1,2,2,2,8,,,1,,2,1,,,2,4,2,4,2,,,,,,,,,,,,,
nmefosaa,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,4,4,9,21,1,,4,2,1,9,,,,,,,,,1,4,,14,8,1,1,1,3,2,5,,,1,,2,1,,,1,2,2,4,2,1,1,1,1,2,2,1,2,1,2,4,1,1
pfbs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,4,3,1,9,17,1,3,3,,1,9,,,1,2,,,,,1,4,,14,5,,,,,,5,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,
pfets,O=S(=O)(O)C(F)(F)C(F)(F)F,1,2,3,1,5,11,1,3,1,,1,5,,,1,2,,,,,,,,6,3,,,,,,,,,,,3,,,,,,3,6,,,,,,,,,,,,,,
pfhps,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,7,3,1,15,26,1,3,6,,1,15,,,1,2,,,,,4,13,,26,8,,,,,,8,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,
pfhxs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,3,1,13,23,1,3,5,,1,13,,,1,2,,,,,3,11,,22,7,,,,,,6,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,
pfpes,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,5,3,1,11,20,1,3,4,,1,11,,,1,2,,,,,2,9,,18,6,,,,,,4,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,
pfprs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,1,3,3,1,7,14,1,3,2,,1,7,,,1,2,,,,,,2,,10,4,,,,,,3,,,1,,3,,,,,,2,6,,,,,,,,,,,,,,
triflate_amide,NS(=O)(=O)C(F)(F)F,1,1,2,2,3,7,1,,,,,3,,,,,,,,,,,,,2,1,1,2,2,2,,,,,,,,,,2,4,,6,3,,,,,,,,,,,,,
triflic,O=S(=O)(O)C(F)(F)F,1,1,3,1,3,8,1,3,,,1,3,,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
